Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
1,1963,1963-05-09T00:00:00,,12001,,41,62.5,1,,,
2,1963,1963-05-09T00:00:00,,12002,,41,62.5,1,,,
3,1963,1963-05-09T00:00:00,,12003,,41,62.5,1,,,
4,1963,1963-05-09T00:00:00,,12004,,41,62.5,1,,,
5,1963,1963-05-09T00:00:00,,12005,,41,62.5,1,,,
6,1963,1963-05-09T00:00:00,,12006,,41,62.5,1,,,
7,1963,1963-05-09T00:00:00,,12007,,41,62.5,1,,,
8,1963,1963-05-09T00:00:00,,12008,,41,62.5,1,,,
9,1963,1963-05-09T00:00:00,,12009,,41,62.5,1,,,
10,1963,1963-05-09T00:00:00,,12010,,41,62.5,1,,,
11,1963,1963-05-09T00:00:00,,12011,,41,62.5,1,,,
12,1963,1963-05-09T00:00:00,,12012,,41,62.5,1,,,
13,1963,1963-05-09T00:00:00,,12013,,41,62.5,1,,,
14,1963,1963-05-09T00:00:00,,12014,,41,62.5,1,,,
15,1963,1963-05-09T00:00:00,,12015,,41,62.5,1,,,
16,1963,1963-05-09T00:00:00,,12016,,41,62.5,1,,,
17,1963,1963-05-09T00:00:00,,12017,,41,62.5,1,,,
18,1963,1963-05-09T00:00:00,,12018,,41,62.5,1,,,
19,1963,1963-05-09T00:00:00,,12019,,41,62.5,1,,,
20,1963,1963-05-09T00:00:00,,12020,,41,62.5,1,,,
21,1963,1963-05-09T00:00:00,,12021,,41,62.5,1,,,
22,1963,1963-05-09T00:00:00,,12022,,41,62.5,1,,,
23,1963,1963-05-09T00:00:00,,12023,,41,62.5,1,,,
24,1963,1963-05-09T00:00:00,,12024,,41,62.5,1,,,
25,1963,1963-05-09T00:00:00,,12025,,41,62.5,1,,,
26,1963,1963-05-09T00:00:00,,12026,,41,62.5,1,,,
27,1963,1963-05-09T00:00:00,,12027,,41,62.5,1,,,
28,1963,1963-05-09T00:00:00,,12028,,41,62.5,1,,,
29,1963,1963-05-09T00:00:00,,12029,,41,62.5,1,,,
30,1963,1963-05-09T00:00:00,,12030,,41,62.5,1,,,
