Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID,Bemerkungen_ID
1,1963,1963-04-25T00:00:00,12001,,14,68,159
2,1963,1963-04-25T00:00:00,12002,,14,68,159
3,1963,1963-04-25T00:00:00,12003,,14,68,159
4,1963,1963-04-25T00:00:00,12004,,14,68,159
5,1963,1963-04-25T00:00:00,12005,,14,68,159
6,1963,1963-04-25T00:00:00,12006,,14,68,159
7,1963,1963-04-25T00:00:00,12007,,14,68,159
8,1963,1963-04-25T00:00:00,12008,,14,68,159
9,1963,1963-04-25T00:00:00,12009,,14,68,159
10,1963,1963-04-25T00:00:00,12010,,14,68,159
11,1963,1963-04-25T00:00:00,12011,,14,68,159
12,1963,1963-04-25T00:00:00,12012,,14,68,159
13,1963,1963-04-25T00:00:00,12013,,14,68,159
14,1963,1963-04-25T00:00:00,12014,,14,68,159
15,1963,1963-04-25T00:00:00,12015,,14,68,159
16,1963,1963-04-25T00:00:00,12016,,14,68,159
17,1963,1963-04-25T00:00:00,12017,,14,68,159
18,1963,1963-04-25T00:00:00,12018,,14,68,159
19,1963,1963-04-25T00:00:00,12019,,14,68,159
20,1963,1963-04-25T00:00:00,12020,,14,68,159
21,1963,1963-04-25T00:00:00,12021,,14,68,159
22,1963,1963-04-25T00:00:00,12022,,14,68,159
23,1963,1963-04-25T00:00:00,12023,,14,68,159
24,1963,1963-04-25T00:00:00,12024,,14,68,159
25,1963,1963-04-25T00:00:00,12025,,14,68,159
26,1963,1963-04-25T00:00:00,12026,,14,68,159
27,1963,1963-04-25T00:00:00,12027,,14,68,159
28,1963,1963-04-25T00:00:00,12028,,14,68,159
29,1963,1963-04-25T00:00:00,12029,,14,68,159
30,1963,1963-04-25T00:00:00,12030,,14,68,159
31,1963,1963-04-25T00:00:00,12031,,14,68,159
32,1963,1963-04-25T00:00:00,12032,,14,68,159
33,1963,1963-04-25T00:00:00,12033,,14,68,159
34,1963,1963-04-25T00:00:00,12034,,14,68,159
35,1963,1963-04-25T00:00:00,12035,,14,68,159
36,1963,1963-04-25T00:00:00,12036,,14,68,159
37,1963,1963-04-25T00:00:00,12037,,14,68,159
38,1963,1963-04-25T00:00:00,12038,,14,68,159
39,1963,1963-04-25T00:00:00,12039,,14,68,159
40,1963,1963-04-25T00:00:00,12040,,14,68,159
41,1963,1963-04-25T00:00:00,12041,,14,68,159
42,1963,1963-04-25T00:00:00,12042,,14,68,159
43,1963,1963-04-25T00:00:00,12043,,14,68,159
44,1963,1963-04-25T00:00:00,12044,,14,68,159
45,1963,1963-04-25T00:00:00,12045,,14,68,159
46,1963,1963-04-25T00:00:00,12046,,14,68,159
47,1963,1963-04-25T00:00:00,12047,,14,68,159
48,1963,1963-04-25T00:00:00,12048,,14,68,159
49,1963,1963-04-25T00:00:00,12049,,14,68,159
50,1963,1963-04-25T00:00:00,12050,,14,68,159
51,1963,1963-04-25T00:00:00,12051,,14,68,159
52,1963,1963-04-25T00:00:00,12052,,14,68,159
53,1963,1963-04-25T00:00:00,12053,,14,68,159
54,1963,1963-04-25T00:00:00,12054,,14,68,159
55,1963,1963-04-25T00:00:00,12055,,14,68,159
56,1963,1963-04-25T00:00:00,12056,,14,68,159
57,1963,1963-04-25T00:00:00,12057,,14,68,159
58,1963,1963-04-25T00:00:00,12058,,14,68,159
59,1963,1963-04-25T00:00:00,12059,,14,68,159
60,1963,1963-04-25T00:00:00,12060,,14,68,159
61,1963,1963-04-25T00:00:00,12061,,14,68,159
62,1963,1963-04-25T00:00:00,12062,,14,68,159
63,1963,1963-04-25T00:00:00,12063,,14,68,159
64,1963,1963-04-25T00:00:00,12064,,14,68,159
65,1963,1963-04-25T00:00:00,12065,,14,68,159
66,1963,1963-04-25T00:00:00,12066,,14,68,159
67,1963,1963-04-25T00:00:00,12067,,14,68,159
68,1963,1963-04-25T00:00:00,12068,,14,68,159
69,1963,1963-04-25T00:00:00,12069,,14,68,159
70,1963,1963-04-25T00:00:00,12070,,14,68,159
71,1963,1963-04-25T00:00:00,12071,,14,68,159
72,1963,1963-04-25T00:00:00,12072,,14,68,159
73,1963,1963-04-25T00:00:00,12073,,14,68,159
74,1963,1963-04-25T00:00:00,12074,,14,68,159
75,1963,1963-04-25T00:00:00,12075,,14,68,159
76,1963,1963-04-25T00:00:00,12076,,14,68,159
77,1963,1963-04-25T00:00:00,12077,,14,68,159
78,1963,1963-04-25T00:00:00,12078,,14,68,159
79,1963,1963-04-25T00:00:00,12079,,14,68,159
80,1963,1963-04-25T00:00:00,12080,,14,68,159
81,1963,1963-04-25T00:00:00,12081,,14,68,159
82,1963,1963-04-25T00:00:00,12082,,14,68,159
83,1963,1963-04-25T00:00:00,12083,,14,68,159
84,1963,1963-04-25T00:00:00,12084,,14,68,159
85,1963,1963-04-25T00:00:00,12085,,14,68,159
86,1963,1963-04-25T00:00:00,12086,,14,68,159
87,1963,1963-04-25T00:00:00,12087,,14,68,159
88,1963,1963-04-25T00:00:00,12088,,14,68,159
89,1963,1963-04-25T00:00:00,12089,,14,68,159
90,1963,1963-04-25T00:00:00,12090,,14,68,159
91,1963,1963-04-25T00:00:00,12091,,14,68,159
92,1963,1963-04-25T00:00:00,12092,,14,68,159
93,1963,1963-04-25T00:00:00,12093,,14,68,159
94,1963,1963-04-25T00:00:00,12094,,14,68,159
95,1963,1963-04-25T00:00:00,12095,,14,68,159
96,1963,1963-04-25T00:00:00,12096,,14,68,159
97,1963,1963-04-25T00:00:00,12097,,14,68,159
98,1963,1963-04-25T00:00:00,12098,,14,68,159
99,1963,1963-04-25T00:00:00,12099,,14,68,159
100,1963,1963-04-25T00:00:00,12100,,14,68,159
101,1963,1963-04-25T00:00:00,12101,,14,68,159
102,1963,1963-04-25T00:00:00,12102,,14,68,159
103,1963,1963-04-25T00:00:00,12103,,14,68,159
104,1963,1963-04-25T00:00:00,12104,,14,68,159
105,1963,1963-04-25T00:00:00,12105,,14,68,159
106,1963,1963-04-25T00:00:00,12106,,14,68,159
107,1963,1963-04-25T00:00:00,12107,,14,68,159
108,1963,1963-04-25T00:00:00,12108,,14,68,159
109,1963,1963-04-25T00:00:00,12109,,14,68,159
110,1963,1963-04-25T00:00:00,12110,,14,68,159
111,1963,1963-04-25T00:00:00,12111,,14,68,159
112,1963,1963-04-25T00:00:00,12112,,14,68,159
113,1963,1963-04-25T00:00:00,12113,,14,68,159
114,1963,1963-04-25T00:00:00,12114,,14,68,159
115,1963,1963-04-25T00:00:00,12115,,14,68,159
116,1963,1963-04-25T00:00:00,12116,,14,68,159
117,1963,1963-04-25T00:00:00,12117,,14,68,159
118,1963,1963-04-25T00:00:00,12118,,14,68,159
119,1963,1963-04-25T00:00:00,12119,,14,68,159
120,1963,1963-04-25T00:00:00,12120,,14,68,159
121,1963,1963-04-25T00:00:00,12121,,14,68,159
122,1963,1963-04-25T00:00:00,12122,,14,68,159
123,1963,1963-04-25T00:00:00,12123,,14,68,159
124,1963,1963-04-25T00:00:00,12124,,14,68,159
125,1963,1963-04-25T00:00:00,12125,,14,68,159
126,1963,1963-04-25T00:00:00,12126,,14,68,159
127,1963,1963-04-25T00:00:00,12127,,14,68,159
128,1963,1963-04-25T00:00:00,12128,,14,68,159
129,1963,1963-04-25T00:00:00,12129,,14,68,159
130,1963,1963-04-25T00:00:00,12130,,14,68,159
131,1963,1963-04-25T00:00:00,12131,,14,68,159
132,1963,1963-04-25T00:00:00,12132,,14,68,159
133,1963,1963-04-25T00:00:00,12133,,14,68,159
134,1963,1963-04-25T00:00:00,12134,,14,68,159
135,1963,1963-04-25T00:00:00,12135,,14,68,159
136,1963,1963-04-25T00:00:00,12136,,14,68,159
137,1963,1963-04-25T00:00:00,12137,,14,68,159
138,1963,1963-04-25T00:00:00,12138,,14,68,159
139,1963,1963-04-25T00:00:00,12139,,14,68,159
140,1963,1963-04-25T00:00:00,12140,,14,68,159
141,1963,1963-04-25T00:00:00,12141,,14,68,159
142,1963,1963-04-25T00:00:00,12142,,14,68,159
143,1963,1963-04-25T00:00:00,12143,,14,68,159
144,1963,1963-04-25T00:00:00,12144,,14,68,159
145,1963,1963-04-25T00:00:00,12145,,14,68,159
146,1963,1963-04-25T00:00:00,12146,,14,68,159
147,1963,1963-04-25T00:00:00,12147,,14,68,159
148,1964,1963-09-12T00:00:00,12001,20,14,68,
149,1964,1963-09-12T00:00:00,12002,20,14,68,
150,1964,1963-09-12T00:00:00,12003,20,14,68,
151,1964,1963-09-12T00:00:00,12004,20,14,68,
152,1964,1963-09-12T00:00:00,12005,20,14,68,
153,1964,1963-09-12T00:00:00,12006,20,14,68,
154,1964,1963-09-12T00:00:00,12007,20,14,68,
155,1964,1963-09-12T00:00:00,12008,20,14,68,
156,1964,1963-09-12T00:00:00,12009,20,14,68,
157,1964,1963-09-12T00:00:00,12010,20,14,68,
158,1964,1963-09-12T00:00:00,12011,20,14,68,
159,1964,1963-09-12T00:00:00,12012,20,14,68,
160,1964,1963-09-12T00:00:00,12013,20,14,68,
161,1964,1963-09-12T00:00:00,12014,20,14,68,
162,1964,1963-09-12T00:00:00,12015,20,14,68,
163,1964,1963-09-12T00:00:00,12016,20,14,68,
164,1964,1963-09-12T00:00:00,12017,20,14,68,
165,1964,1963-09-12T00:00:00,12018,20,14,68,
166,1964,1963-09-12T00:00:00,12019,20,14,68,
167,1964,1963-09-12T00:00:00,12020,20,14,68,
168,1964,1963-09-12T00:00:00,12021,20,14,68,
169,1964,1963-09-12T00:00:00,12022,20,14,68,
170,1964,1963-09-12T00:00:00,12023,20,14,68,
171,1964,1963-09-12T00:00:00,12024,20,14,68,
172,1964,1963-09-12T00:00:00,12025,20,14,68,
173,1964,1963-09-12T00:00:00,12026,20,14,68,
174,1964,1963-09-12T00:00:00,12027,20,14,68,
175,1964,1963-09-12T00:00:00,12028,20,14,68,
176,1964,1963-09-12T00:00:00,12029,20,14,68,
177,1964,1963-09-12T00:00:00,12030,20,14,68,
178,1964,1963-09-12T00:00:00,12031,20,14,68,
179,1964,1963-09-12T00:00:00,12032,20,14,68,
180,1964,1963-09-12T00:00:00,12033,20,14,68,
181,1964,1963-09-12T00:00:00,12034,20,14,68,
182,1964,1963-09-12T00:00:00,12035,20,14,68,
183,1964,1963-09-12T00:00:00,12036,20,14,68,
184,1964,1963-09-12T00:00:00,12037,20,14,68,
185,1964,1963-09-12T00:00:00,12038,20,14,68,
186,1964,1963-09-12T00:00:00,12039,20,14,68,
187,1964,1963-09-12T00:00:00,12040,20,14,68,
188,1964,1963-09-12T00:00:00,12041,20,14,68,
189,1964,1963-09-12T00:00:00,12042,20,14,68,
