Duengemittel_ID,Name,Bemerkungen_ID
1,ALZON flüssig-S,
2,Gülle-Feststoff vom Rind,
3,KAS,
4,P/K/Mg/S 10/25/2/5,
5,P/K/Mg/S 11/22/4/6,
6,Rinderstallmist-Trockenmasse,
7,Rügener Kreidekalk,
8,Stalldung,
9,Stalldung 16.04.2002,
10,Stalldung Herbst 2010,
11,Stalldung vom Rind,
12,Stroh Sommergerste,
13,Stroh Sommerweizen,
14,Stroh Winterroggen,
15,Stroh Winterweizen,
16,Strohhäcksel,
17,Strohhäcksel  SGE TM,
18,Strohhäcksel-Trockenmasse,
19,Thomaskali 10 20 3 3,
20,Thomaskali 7 21 3 2,
21,Thomaskali 7 21 5 4,
22,Thomaskali 8 15 6 5,
