Duengung_ID,Versuchsjahr,Termin,Parzelle_ID,Mineralisch,Organisch,Frischmasse,Stickstoff_In_Frischmasse,Phosphor_In_Frischmasse,Kalium_In_Frischmasse,Trockenmasse,Masse_mineralisch,Stickstoff,Phosphor,Kalium,Duengemittel_ID,Gesamt_Stickstoff,Magnesium_In_Frischmasse,Stickstoff_In_Trockenmasse,Phosphor_In_Trockenmasse,Kalium_In_Trockenmasse,Magnesium_In_Trockenmasse,Trockensubstanz,Magnesium,Schwefel,Kalzium,Technik_ID,Bemerkungen_ID
1,1963,,12001,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
2,1963,,12002,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
3,1963,,12003,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
4,1963,,12004,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
5,1963,,12005,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
6,1963,,12009,1,,,,,,,,,62,70,,65,,,,,,,12,,89,,
7,1963,,12010,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
8,1963,,12011,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
9,1963,,12012,1,,,,,,,,,75,120,,160,,,,,,,8,,100,,
10,1963,,12013,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
11,1963,,12015,1,,,,,,,,,137,190,,155,,,,,,,20,,186,,
12,1963,,12016,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
13,1963,,12017,1,,,,,,,,,112,160,,120,,,,,,,15,,150,,
14,1963,,12018,1,,,,,,,,,150,200,,160,,,,,,,21,,200,,
15,1963,,12019,1,,,,,,,,,99,130,,115,,,,,,,15,,136,,
16,1963,,12020,1,,,,,,,,,75,120,,80,,,,,,,0,,100,,
17,1963,,12021,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
18,1963,,12023,1,,,,,,,,,150,200,,160,,,,,,,21,,200,,
19,1963,,12024,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
20,1963,,12025,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
21,1963,,12026,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
22,1963,,12027,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
23,1963,,12028,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
24,1963,,12029,1,,,,,,,,,112,160,,120,,,,,,,15,,150,,
25,1963,,12030,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
26,1963,,12032,1,,,,,,,,,99,130,,115,,,,,,,15,,136,,
27,1963,,12035,1,,,,,,,,,62,70,,65,,,,,,,12,,89,,
28,1963,,12036,1,,,,,,,,,75,120,,160,,,,,,,8,,100,,
29,1963,,12037,1,,,,,,,,,75,120,,80,,,,,,,0,,100,,
30,1963,,12038,1,,,,,,,,,137,190,,155,,,,,,,20,,186,,
31,1963,,12039,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
32,1963,,12040,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
33,1963,,12041,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
34,1963,,12042,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
35,1963,,12043,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
36,1963,,12045,1,,,,,,,,,75,120,,160,,,,,,,8,,100,,
37,1963,,12046,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
38,1963,,12048,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
39,1963,,12050,1,,,,,,,,,150,200,,160,,,,,,,21,,200,,
40,1963,,12051,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
41,1963,,12052,1,,,,,,,,,75,120,,80,,,,,,,0,,100,,
42,1963,,12053,1,,,,,,,,,137,190,,155,,,,,,,20,,186,,
43,1963,,12054,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
44,1963,,12055,1,,,,,,,,,99,130,,115,,,,,,,15,,136,,
45,1963,,12056,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
46,1963,,12057,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
47,1963,,12058,1,,,,,,,,,112,160,,120,,,,,,,15,,150,,
48,1963,,12059,1,,,,,,,,,62,70,,65,,,,,,,12,,89,,
49,1963,,12061,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
50,1963,,12062,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
51,1963,,12063,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
52,1963,,12064,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
53,1963,,12065,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
54,1963,,12066,1,,,,,,,,,150,200,,160,,,,,,,21,,200,,
55,1963,,12068,1,,,,,,,,,137,190,,155,,,,,,,20,,186,,
56,1963,,12070,1,,,,,,,,,99,130,,115,,,,,,,15,,136,,
57,1963,,12071,1,,,,,,,,,75,120,,80,,,,,,,0,,100,,
58,1963,,12072,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
59,1963,,12073,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
60,1963,,12074,1,,,,,,,,,75,120,,160,,,,,,,8,,100,,
61,1963,,12075,1,,,,,,,,,62,70,,65,,,,,,,12,,89,,
62,1963,,12076,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
63,1963,,12077,1,,,,,,,,,112,160,,120,,,,,,,15,,150,,
64,1963,,12078,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
65,1963,,12079,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
66,1963,,12080,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
67,1963,,12081,1,,,,,,,,,56,60,,50,,,,,,,9,,75,,
68,1963,,12082,1,,,,,,,,,75,80,,60,,,,,,,12,,100,,
69,1963,,12085,1,,,,,,,,,38,40,,30,,,,,,,6,,50,,
70,1963,,12087,1,,,,,,,,,75,120,,80,,,,,,,8,,100,,
71,1963,,12088,1,,,,,,,,,62,70,,65,,,,,,,12,,89,,
