Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Hp_Kohlenstoff,Hp_Stickstoff,Hp_Phosphor,Hp_Kalium,Hp_Magnesium,Hp_Kalzium,Hp_Natrium,Hp_Kupfer,Hp_Mangan,Hp_Zink,Np_Kohlenstoff,Np_Stickstoff,Np_Stickstoff_Nitrat,Np_Phosphor,Np_Kalium,Np_Magnesium,Np_Kalzium,Np_Natrium,Np_Kupfer,Np_Mangan,Np_Zink,Staerke_Kartoffeln,Bemerkungen_ID
1,1,,1.48,0.22,1.85,0.13,0.32,,,,,,,,,,,,,,,,,
2,2,,1.61,0.26,1.83,0.13,0.31,,,,,,,,,,,,,,,,,
3,3,,1.51,0.23,1.77,0.14,0.39,,,,,,,,,,,,,,,,,
4,4,,1.31,0.24,1.88,0.12,0.28,,,,,,,,,,,,,,,,,
5,5,,1.28,0.25,1.63,0.12,0.28,,,,,,,,,,,,,,,,,
6,6,,1.17,0.24,1.81,0.11,0.29,,,,,,,,,,,,,,,,,
7,7,,1.38,0.24,1.46,0.13,0.26,,,,,,,,,,,,,,,,,
8,8,,1.22,0.24,1.39,0.11,0.21,,,,,,,,,,,,,,,,,
9,9,,1.68,0.26,1.78,0.13,0.32,,,,,,,,,,,,,,,,,
10,10,,1.47,0.21,2.26,0.16,0.44,,,,,,,,,,,,,,,,,
11,11,,1.64,0.22,1.9,0.13,0.38,,,,,,,,,,,,,,,,,
12,12,,1.61,0.26,2.08,0.14,0.38,,,,,,,,,,,,,,,,,
13,13,,1.45,0.22,1.69,0.13,0.32,,,,,,,,,,,,,,,,,
14,14,,1.22,0.2,1.62,0.12,0.34,,,,,,,,,,,,,,,,,
15,15,,1.22,0.24,1.39,0.11,0.21,,,,,,,,,,,,,,,,,
16,16,,1.64,0.22,1.9,0.13,0.38,,,,,,,,,,,,,,,,,
17,17,,1.61,0.26,1.83,0.13,0.31,,,,,,,,,,,,,,,,,
18,18,,1.31,0.24,1.88,0.12,0.28,,,,,,,,,,,,,,,,,
19,19,,1.47,0.21,2.26,0.16,0.44,,,,,,,,,,,,,,,,,
20,20,,1.48,0.22,1.85,0.13,0.32,,,,,,,,,,,,,,,,,
21,21,,1.61,0.26,2.08,0.14,0.38,,,,,,,,,,,,,,,,,
22,22,,1.28,0.25,1.63,0.12,0.28,,,,,,,,,,,,,,,,,
23,23,,1.17,0.24,1.81,0.11,0.29,,,,,,,,,,,,,,,,,
24,24,,1.38,0.24,1.46,0.13,0.26,,,,,,,,,,,,,,,,,
25,25,,1.45,0.22,1.69,0.13,0.32,,,,,,,,,,,,,,,,,
26,26,,1.68,0.26,1.78,0.13,0.32,,,,,,,,,,,,,,,,,
