Pflanzenschutz_Mittel_ID,Name,Zulassungsnummer,Wirkstoff,Bemerkungen_ID
1,Acanto,024658-00,,
2,Alto 100 SL,,,
3,Alverde,006102-00,,
4,Bacara,024311-00,,
5,Bacara forte,006369-00,,
6,Banjo Forte,027012-00,,
7,Bumper Star,,,
8,CCC 720,034046-60,,
9,CERTROL B,040855-00,,
10,CIRAL,004510-00,,
11,Cadou SC,005908-00,,
12,Camposan Extra,024034-00,,
13,Centium 36 CS,024798-00,,
14,Corbel,043190-00,,
15,Cycocel 720,033428-00,,
16,Dantop,025583-00,,
17,Decis flüssig,042973-00,,
18,FENIKAN,043779-00,,
19,Karate mit Zeon Technologie,004675-00,,
20,Lexus,024388-00,,
21,Moddus,024212-00,,
22,Opus Top,024116-00,,
23,Principal Komponente A,,,
24,Principal Komponente B,,,
25,Proline,025287-00,,
26,Proxanil,006481-00,,
27,Ranman Top,006860-00,,
28,Ridomil Gold MZ,024412-00,,
29,Roundup Power Flex,006149-00,,
30,Roundup Ultra,024142-00,,
31,Roundup UltraMax,005191-00,,
32,STOMP SC,033907-00,,
33,Sencor WG,052004-00,,
34,Shirlan,034092-00,,
35,Stabilan,024214-60,,
36,Successor T,025496-00,,
37,Tanos,024647-00,,
38,Terano,005865-00,,
39,Trafo WG,034178-00,,
40,U 46 M-Fluid,024066-00,,
