Probenahme_Pflanzen_ID,Versuchsjahr,Termin,Parzelle_ID,Bemerkungen_ID
1,1963,,12001,
2,1963,,12002,
3,1963,,12004,
4,1963,,12005,
5,1963,,12007,
6,1963,,12008,
7,1963,,12009,
8,1963,,12014,
9,1963,,12015,
10,1963,,12017,
11,1963,,12018,
12,1963,,12019,
13,1963,,12020,
14,1963,,12021,
15,1963,,12022,
16,1963,,12023,
17,1963,,12026,
18,1963,,12028,
19,1963,,12029,
20,1963,,12030,
21,1963,,12032,
22,1963,,12033,
23,1963,,12034,
24,1963,,12035,
25,1963,,12037,
26,1963,,12038,
27,1963,,12041,
28,1963,,12042,
29,1963,,12044,
30,1963,,12046,
31,1963,,12047,
32,1963,,12048,
33,1963,,12050,
34,1963,,12052,
35,1963,,12053,
36,1963,,12055,
37,1963,,12057,
38,1963,,12058,
39,1963,,12059,
40,1963,,12060,
41,1963,,12061,
42,1963,,12063,
43,1963,,12065,
44,1963,,12066,
45,1963,,12068,
46,1963,,12069,
47,1963,,12070,
48,1963,,12071,
49,1963,,12072,
50,1963,,12073,
51,1963,,12075,
52,1963,,12077,
53,1963,,12078,
54,1963,,12080,
55,1963,,12083,
56,1963,,12084,
57,1963,,12085,
58,1963,,12086,
59,1963,,12088,
60,1963,,12090,
61,1963,,12093,
62,1963,,12094,
63,1963,,12095,
64,1963,,12096,
65,1963,,12098,
66,1963,,12100,
67,1963,,12101,
68,1963,,12102,
69,1963,,12104,
70,1963,,12105,
71,1963,,12107,
72,1963,,12110,
73,1963,,12111,
74,1963,,12112,
75,1963,,12113,
76,1963,,12115,
77,1963,,12116,
78,1963,,12118,
79,1963,,12119,
80,1963,,12120,
81,1963,,12122,
82,1963,,12123,
83,1963,,12124,
84,1963,,12125,
85,1963,,12129,
86,1963,,12130,
87,1963,,12131,
88,1963,,12132,
89,1963,,12134,
90,1963,,12136,
91,1963,,12137,
92,1963,,12138,
93,1963,,12139,
94,1963,,12141,
95,1963,,12142,
96,1963,,12143,
97,1963,,12144,
98,1963,,12145,
99,1964,,12001,
100,1964,,12002,
101,1964,,12004,
102,1964,,12005,
103,1964,,12007,
104,1964,,12008,
105,1964,,12009,
106,1964,,12014,
107,1964,,12015,
108,1964,,12017,
109,1964,,12018,
110,1964,,12019,
111,1964,,12020,
112,1964,,12021,
113,1964,,12022,
114,1964,,12023,
115,1964,,12026,
116,1964,,12028,
117,1964,,12029,
118,1964,,12030,
119,1964,,12032,
120,1964,,12033,
121,1964,,12034,
122,1964,,12035,
123,1964,,12037,
124,1964,,12038,
125,1964,,12041,
126,1964,,12042,
127,1964,,12044,
128,1964,,12046,
129,1964,,12047,
130,1964,,12048,
131,1964,,12050,
132,1964,,12052,
133,1964,,12053,
134,1964,,12055,
135,1964,,12057,
136,1964,,12058,
137,1964,,12059,
138,1964,,12060,
139,1964,,12061,
140,1964,,12063,
141,1964,,12065,
142,1964,,12066,
143,1964,,12068,
144,1964,,12069,
145,1964,,12070,
146,1964,,12071,
147,1964,,12072,
148,1964,,12073,
149,1964,,12075,
150,1964,,12077,
151,1964,,12078,
152,1964,,12080,
153,1964,,12083,
154,1964,,12084,
155,1964,,12085,
156,1964,,12086,
157,1964,,12088,
158,1964,,12090,
159,1964,,12093,
160,1964,,12094,
161,1964,,12095,
162,1964,,12096,
163,1964,,12098,
164,1964,,12100,
165,1964,,12101,
166,1964,,12102,
167,1964,,12104,
168,1964,,12105,
169,1964,,12107,
170,1964,,12110,
171,1964,,12111,
172,1964,,12112,
173,1964,,12113,
174,1964,,12115,
175,1964,,12116,
176,1964,,12118,
177,1964,,12119,
178,1964,,12120,
179,1964,,12122,
180,1964,,12123,
181,1964,,12124,
182,1964,,12125,
183,1964,,12129,
184,1964,,12130,
185,1964,,12131,
186,1964,,12132,
187,1964,,12134,
188,1964,,12136,
189,1964,,12137,
190,1964,,12138,
191,1964,,12139,
192,1964,,12141,
193,1964,,12142,
194,1964,,12143,
195,1964,,12144,
196,1964,,12145,
197,1965,,12001,
198,1965,,12002,
199,1965,,12003,
200,1965,,12004,
201,1965,,12005,
202,1965,,12006,
203,1965,,12007,
204,1965,,12008,
205,1965,,12009,
206,1965,,12010,
207,1965,,12011,
208,1965,,12012,
209,1965,,12013,
210,1965,,12014,
211,1965,,12015,
212,1965,,12016,
213,1965,,12017,
214,1965,,12018,
215,1965,,12019,
216,1965,,12020,
217,1965,,12021,
218,1965,,12022,
219,1965,,12023,
220,1965,,12024,
221,1965,,12025,
222,1965,,12026,
223,1965,,12027,
224,1965,,12028,
225,1965,,12029,
226,1965,,12030,
227,1965,,12031,
228,1965,,12032,
229,1965,,12033,
230,1965,,12034,
231,1965,,12035,
232,1965,,12036,
233,1965,,12037,
234,1965,,12038,
235,1965,,12039,
236,1965,,12040,
237,1965,,12041,
238,1965,,12042,
239,1965,,12043,
240,1965,,12044,
241,1965,,12045,
242,1965,,12046,
243,1965,,12047,
244,1965,,12048,
245,1965,,12049,
246,1965,,12050,
247,1965,,12051,
248,1965,,12052,
249,1965,,12053,
250,1965,,12054,
251,1965,,12055,
252,1965,,12056,
253,1965,,12057,
254,1965,,12058,
255,1965,,12059,
256,1965,,12060,
257,1965,,12061,
258,1965,,12062,
259,1965,,12063,
260,1965,,12064,
261,1965,,12065,
262,1965,,12066,
263,1965,,12067,
264,1965,,12068,
265,1965,,12069,
266,1965,,12070,
267,1965,,12071,
268,1965,,12072,
269,1965,,12073,
270,1965,,12074,
271,1965,,12075,
272,1965,,12076,
273,1965,,12077,
274,1965,,12078,
275,1965,,12079,
276,1965,,12080,
277,1965,,12081,
278,1965,,12082,
279,1965,,12083,
280,1965,,12084,
281,1965,,12085,
282,1965,,12086,
283,1965,,12087,
284,1965,,12088,
285,1965,,12089,
286,1965,,12090,
287,1965,,12091,
288,1965,,12092,
289,1965,,12093,
290,1965,,12094,
291,1965,,12095,
292,1965,,12096,
293,1965,,12097,
294,1965,,12098,
295,1965,,12099,
296,1965,,12100,
297,1965,,12101,
298,1965,,12102,
299,1965,,12103,
300,1965,,12104,
301,1965,,12105,
302,1965,,12106,
303,1965,,12107,
304,1965,,12108,
305,1965,,12109,
306,1965,,12110,
307,1965,,12111,
308,1965,,12112,
309,1965,,12113,
310,1965,,12114,
311,1965,,12115,
312,1965,,12116,
313,1965,,12117,
314,1965,,12118,
315,1965,,12119,
316,1965,,12120,
317,1965,,12121,
318,1965,,12122,
319,1965,,12123,
320,1965,,12124,
321,1965,,12125,
322,1965,,12126,
323,1965,,12127,
324,1965,,12128,
325,1965,,12129,
326,1965,,12130,
327,1965,,12131,
328,1965,,12132,
329,1965,,12133,
330,1965,,12134,
331,1965,,12135,
332,1965,,12136,
333,1965,,12137,
334,1965,,12138,
335,1965,,12139,
336,1965,,12140,
337,1965,,12141,
338,1965,,12142,
339,1965,,12143,
340,1965,,12144,
341,1965,,12145,
342,1965,,12146,
343,1965,,12147,
344,1966,,12001,
345,1966,,12002,
346,1966,,12004,
347,1966,,12005,
348,1966,,12007,
349,1966,,12008,
350,1966,,12009,
351,1966,,12014,
352,1966,,12015,
353,1966,,12017,
354,1966,,12018,
355,1966,,12019,
356,1966,,12020,
357,1966,,12021,
358,1966,,12022,
359,1966,,12023,
360,1966,,12026,
361,1966,,12028,
362,1966,,12029,
363,1966,,12030,
364,1966,,12032,
365,1966,,12033,
366,1966,,12034,
367,1966,,12035,
368,1966,,12037,
369,1966,,12038,
370,1966,,12041,
371,1966,,12042,
372,1966,,12044,
373,1966,,12046,
374,1966,,12047,
375,1966,,12048,
376,1966,,12050,
377,1966,,12052,
378,1966,,12053,
379,1966,,12055,
380,1966,,12057,
381,1966,,12058,
382,1966,,12059,
383,1966,,12060,
384,1966,,12061,
385,1966,,12063,
386,1966,,12065,
387,1966,,12066,
388,1966,,12068,
389,1966,,12069,
390,1966,,12070,
391,1966,,12071,
392,1966,,12072,
393,1966,,12073,
394,1966,,12075,
395,1966,,12077,
396,1966,,12078,
397,1966,,12080,
398,1966,,12083,
399,1966,,12084,
400,1966,,12085,
401,1966,,12086,
402,1966,,12088,
403,1966,,12090,
404,1966,,12093,
405,1966,,12094,
406,1966,,12095,
407,1966,,12096,
408,1966,,12098,
409,1966,,12100,
410,1966,,12101,
411,1966,,12102,
412,1966,,12104,
413,1966,,12105,
414,1966,,12107,
415,1966,,12110,
416,1966,,12111,
417,1966,,12112,
418,1966,,12113,
419,1966,,12115,
420,1966,,12116,
421,1966,,12118,
422,1966,,12119,
423,1966,,12120,
424,1966,,12122,
425,1966,,12123,
426,1966,,12124,
427,1966,,12125,
428,1966,,12129,
429,1966,,12130,
430,1966,,12131,
431,1966,,12132,
432,1966,,12134,
433,1966,,12136,
434,1966,,12137,
435,1966,,12138,
436,1966,,12139,
437,1966,,12141,
438,1966,,12142,
439,1966,,12143,
440,1966,,12144,
441,1966,,12145,
442,1967,,12001,
443,1967,,12002,
444,1967,,12003,
445,1967,,12004,
446,1967,,12005,
447,1967,,12006,
448,1967,,12007,
449,1967,,12008,
450,1967,,12009,
451,1967,,12010,
452,1967,,12011,
453,1967,,12012,
454,1967,,12013,
455,1967,,12014,
456,1967,,12015,
457,1967,,12016,
458,1967,,12017,
459,1967,,12018,
460,1967,,12019,
461,1967,,12020,
462,1967,,12021,
463,1967,,12022,
464,1967,,12023,
465,1967,,12024,
466,1967,,12025,
467,1967,,12026,
468,1967,,12027,
469,1967,,12028,
470,1967,,12029,
471,1967,,12030,
472,1967,,12031,
473,1967,,12032,
474,1967,,12033,
475,1967,,12034,
476,1967,,12035,
477,1967,,12036,
478,1967,,12037,
479,1967,,12038,
480,1967,,12039,
481,1967,,12040,
482,1967,,12041,
483,1967,,12042,
484,1967,,12043,
485,1967,,12044,
486,1967,,12045,
487,1967,,12046,
488,1967,,12047,
489,1967,,12048,
490,1967,,12049,
491,1967,,12050,
492,1967,,12051,
493,1967,,12052,
494,1967,,12053,
495,1967,,12054,
496,1967,,12055,
497,1967,,12056,
498,1967,,12057,
499,1967,,12058,
500,1967,,12059,
501,1967,,12060,
502,1967,,12061,
503,1967,,12062,
504,1967,,12063,
505,1967,,12064,
506,1967,,12065,
507,1967,,12066,
508,1967,,12067,
509,1967,,12068,
510,1967,,12069,
511,1967,,12070,
512,1967,,12071,
513,1967,,12072,
514,1967,,12073,
515,1967,,12074,
516,1967,,12075,
517,1967,,12076,
518,1967,,12077,
519,1967,,12078,
520,1967,,12079,
521,1967,,12080,
522,1967,,12081,
523,1967,,12082,
524,1967,,12083,
525,1967,,12084,
526,1967,,12085,
527,1967,,12086,
528,1967,,12087,
529,1967,,12088,
530,1967,,12089,
531,1967,,12090,
532,1967,,12091,
533,1967,,12092,
534,1967,,12093,
535,1967,,12094,
536,1967,,12095,
537,1967,,12096,
538,1967,,12097,
539,1967,,12098,
540,1967,,12099,
541,1967,,12100,
542,1967,,12101,
543,1967,,12102,
544,1967,,12103,
545,1967,,12104,
546,1967,,12105,
547,1967,,12106,
548,1967,,12107,
549,1967,,12108,
550,1967,,12109,
551,1967,,12110,
552,1967,,12111,
553,1967,,12112,
554,1967,,12113,
555,1967,,12114,
556,1967,,12115,
557,1967,,12116,
558,1967,,12117,
559,1967,,12118,
560,1967,,12119,
561,1967,,12120,
562,1967,,12121,
563,1967,,12122,
564,1967,,12123,
565,1967,,12124,
566,1967,,12125,
567,1967,,12126,
568,1967,,12127,
569,1967,,12128,
570,1967,,12129,
