Technik_ID,Technik,Beschreibung,Arbeitsbreite,Reihenabstand,Reihenanzahl,Art,Bemerkungen_ID
1,3- Schar-Anbau-Beetpflug B 125 + Untergrundpacker Variopack 110 DP-70+ Nachlaufgerät NRPT D 450x130+1 Vierkantschleppe,,,,,,
2,3- Schar-Anbau-Volldrehpflug Lemken Opal 090,,,,,,
3,"3- Scharbeetpflug (B 105) + Nachlaufgerät (Dreikantringe, Crosskillwalze)+2 Vierkantschleppen",,,,,,
4,3- Schardrehpflug (Fa. Lemken),,,,,,
5,"3- Schardrehpflug (Fa. Lemken) + Nachlaufgerät (Dreikantringe, Crosskillwalze)+1 Vierkantschleppe",,,,,,
6,Ackerbürste,,,,,,
7,Amazone + Rollschare,"Amazone Aufbaudrillmaschine 302 mit Kreiselgrubber 301, Reifenpacker, Rollscharen, Feinzugstriegel",3,10,30,,
8,Amazone + Schleppschare,"Amazone Aufbaudrillmaschine 302 mit Kreiselgrubber 301, Reifenpacker, Schleppscharen, Feinzugstriegel",3,10,30,,
9,"Amazone Aufbaudrillmaschine 302 mit Kreiselgrubber 301, Reifenpacker, Rollscharen, Feinzugstriegel",,,,,,
10,Amazone Maislegemaschine,"Einzelkorn-Sämaschine Amazone Airplanter RP-ED 300 mit Kreiselgrubber 301, Schleppscharen, Feinzugstriegel",3,75,4,,
11,Amazone-ED300,,,,,,
12,Amazone-RPD300,,,,,,
13,Becker Aeromat,Pneumatische Einzelkornsämaschine Becker Aeromat,3,75,4,,
14,Beetpflug,,,,,,
15,Cultan SGL,Cultan - GFI von SGL,,,,,
16,Direktsämaschine Moore,Direktsämaschine Moore UNI DRILL DP 300,3,16.67,18,,
17,Drehpflug + Nachlaufgerät,,,,,,
18,Drehpflug ohne Nachlaufgerät,,,,,,
19,Dreischardrehpflug,,,,,,
20,Drillmaschine A 201 + Rollschare,Heckanbau-Drillmaschine Fortschritt Saxonia A 201 mit Rollscharen,3,14.3,21,,
21,Drillmaschine A 201 + Schleppschare,Heckanbau-Drillmaschine Fortschritt Saxonia A 201 mit Schleppscharen,3,12.5,24,,
22,E 280,Feldhäcksler E 280,,,,,
23,E 514,Mähdrescher Fortschritt E 514,4.5,,,,
24,E 650,Kartoffel - Siebkettenroder E 650,1.5,,,,
25,E 686,Kartoffel Rodetrennlader E 686,1.5,,,,
26,EKD Becker,,,,,,
27,EP 500,Parzellenmähdrescher EP 500 Hamster,2,,,,
28,Egge,,,,,,
29,Egge+Netzstriegel (vermutlich),,,,,,
30,"Egge, leichte",,,,,,
31,Federzinkenegge,,,,,,
32,Feingrubber,,,,,,
33,Feingrubber mit Federzinken,,,,,,
34,Feingrubber mit Strichs,,,,,,
35,Feldspritze + Flachstrahldüsen,Feldspritze Eigenbau Forschungsstation mit Flachstrahldüsen,21,,,,
36,Feldspritze + Fünflochdüsen,Feldspritze Eigenbau Forschungsstation mit Fünflochdüsen,21,,,,
37,Feldspritze + Schleppschläuche,,,,,,
38,Feldspritze neu + Flachstrahldüsen,Anhänge - Feldspritze Hardi Ranger Pro VHP mit Standardflachstrahldüsen "Hardi ISO F-110 (Syntal S / 04 Rot)",21,,,,
39,Feldspritze neu + Fünflochdüsen,Anhänge - Feldspritze Hardi Ranger Pro VHP mit Fünflochdüsen "Hardi Quintastream (Single / 02 Gelb)",21,,,,
40,Feldspritze neu + Luftinjektordüsen,Anhänge - Feldspritze Hardi Ranger Pro VHP mit Luftinjektordüsen "Hardi ISO Minidrift (Syntal S / 04 Rot)",21,,,,
41,Fendt+Schlegelmulchgerät,Traktor Fendt 514+Schlegelmulchgerät Humus KMF 340,3.4,,,,
42,Fräse,,,,,,
43,Grimme-Kartoffelsammelroder,Grimme-Kartoffelsammelroder einreihig,0.75,,,,
44,Grubberdrille,"2-balkiger Grubber mit Gänsefußmessern, 2 Ringwalzen und Accordsämaschine",3,15,20,,
45,Haldrup,Grünfutterparzellenernter Haldrup 1500,1.5,,,,
46,Handhacke,,,,,,
47,Hege 180,Parzellenmähdrescher Hege 180,2,,,,
48,Hege 214,Parzellenhäcksler Hege 214,1.5,,,,
49,Hege 34,Parzellendüngerstreuer Hege 34 auf Geräteträger Hege 76,1.5,,,,
50,Hege 76 mit Tecnoma,Spritze auf Geräteträger Hege 76,,,,,
51,Hege 80,Stationärdrescher Hege 80,,,,,
52,John Deere 750 A,Direktsämaschine John Deere 750 A,3,16.67,18,,
53,Kartoffellegemaschine,,,,,,
54,"Kombiniertes Aggregat (Feingrubber, Schleppe, Rundstahlfederzinken, Winkelstabkrümler)",,,,,,
55,Krautschlegler,Krautschlegler Z 321,,,,,
56,Kreiselgrubber+Aussaat kombiniert,,,,,,
57,Kuhn-Rotor-Schlegel-Mulcher,Kuhn-Rotor-Schlegel-Mulcher BPR 280PRO,2.79,,,,
58,Kuhn-Striger,,,,,,
59,Legebrett,Legebrett zur manuellen Pflanzung von Kartoffeln,6,75,8,,
60,Lemken- Schwergrubber(Smaragd 9/300),,,,,,
61,Maral + Maisschneidwerk,Feldhäcksler Fortschritt E 281 Maral mit Maisschneidwerk,3,,,,23
62,Maral + Schneidwerk,Feldhäcksler Fortschritt E 281 Maral mit Feldfutterschneidwerk E 296,4.2,,,,
63,Maral + Schwadaufnehmer,Feldhäcksler Fortschritt E 281 Maral mit Schwadaufnehmer,,,,,
64,Motordrille,,,,,,
65,P 437 Dreipunkt-Heckanbau-Vielfachgerät mit Lochsternen,,,,,,
66,P 437 Vielfachgerät mit Häufelkörpern und Dammkrümelwalzen,,,,,,
67,P 437 mit Häufelkörpern,,,,,,
68,P 437 mit Häufelkörpern + Dammkrümelwalzen,,,,,,
69,P 437 mit Lochsternen,,,,,,
70,Pflug + Nachlaufgerät,,,,,,
71,Pflug ohne Nachlaufgeräte,,,,,,
72,Pneumatic-Düngerstreuer Amazone,Pneumatic - Düngerstreuer Amazone Super-Jet 24,24,,,,
73,Pneumatic-Düngerstreuer Kongskilde,Pneumatic-Düngerstreuer Wing Jet 4824 Kongskilde,24,,,,
74,Pneumatische Einzelkornsämaschine Becker Aeromat,,,,,,
75,RS09,,,,,,
76,Rasentraktor,Rasenmähtraktor John Deere,0.5,,,,
77,Reifenpackerdrille mit Kreiselgrubber und Rollscharen (Amazone),,,,,,
78,Rückenspritze,Rückenspritze,,,,,
79,Saxonia-Handdrille,Saxonia-Drille handgeschoben,0.38,12.5,3,,
80,Schaelpflug,,,,,,
81,Scheibenegge,,,,,,
82,Scheibenegge Catros 3001,,,,,,
83,Scheibengrubber Lemken Smaragd 9/300,,,,,,
84,Schlegelmulchgerät,Schlegelmulchgerät FDM 325+Traktor Fendt im Heckanbau,,,,,
85,Schleppe,,,,,,
86,Schlepprechen,Schlepprechen (Hungerharke),,,,,
87,Schneckenkornstreuer,,,,,,32
88,Schwergrubber,,,,,,
89,Stalldungstreuer,Stalldungstreuer Strautmann BE 4,6,,,,
90,"Stalldungstreuer 1,75 m AB",Stalldungstreuer alt,,,,,
91,Strichegge,,,,,,
92,Striegel,,,,,,
93,Strohballenpresse,Strohballenpresse,,,,,
94,Strohreißer,Strohreißer,2.8,,,,
95,Tecnoma,Anbau - Feldspritze Tecnoma TS 200 auf Geräteträger Hege 76,9,,,,
96,Tellerdüngerstreuer,Tellerdüngerstreuer RCW,8,,,,
97,Zeppelin,Zeppelin Bagger,,,,,177
98,keine Angabe,,,,,,
99,"keine Angaben, wahrscheinlich Feingrubber",,,,,,
100,"keine Angaben, wahrscheinlich Schwergrubber",,,,,,
101,manuell,,,,,,
102,von Hand,Düngerstreuen von Hand,,,,,
103,"von Hand, ESTA-Kiserit",,,,,,
