Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID,Bewaesserung,Wiederholung
1,1963,12001,4,13,0,1
2,1963,12002,4,15,0,1
3,1963,12003,4,9,0,1
4,1963,12004,4,3,0,1
5,1963,12005,4,8,0,1
6,1963,12006,4,12,0,1
7,1963,12007,4,1,0,1
8,1963,12008,4,14,0,1
9,1963,12009,4,17,0,1
10,1963,12010,4,4,0,1
11,1963,12011,4,16,0,1
12,1963,12012,4,21,0,1
13,1963,12013,4,10,0,1
14,1963,12014,4,7,0,1
15,1963,12015,4,19,0,1
16,1963,12016,4,11,0,1
17,1963,12017,4,5,0,1
18,1963,12018,4,6,0,1
19,1963,12019,4,18,0,1
20,1963,12020,4,20,0,1
21,1963,12021,4,2,0,1
22,1963,12022,4,7,0,1
23,1963,12023,4,6,0,1
24,1963,12024,4,16,0,1
25,1963,12025,4,9,0,1
26,1963,12026,4,15,0,1
27,1963,12027,4,4,0,1
28,1963,12028,4,8,0,1
29,1963,12029,4,5,0,1
30,1963,12030,4,13,0,1
31,1963,12031,4,12,0,1
32,1963,12032,4,18,0,1
33,1963,12033,4,1,0,1
34,1963,12034,4,14,0,1
35,1963,12035,4,17,0,1
36,1963,12036,4,21,0,1
37,1963,12037,4,20,0,1
38,1963,12038,4,19,0,1
39,1963,12039,4,10,0,1
40,1963,12040,4,11,0,1
41,1963,12041,4,2,0,1
42,1963,12042,4,3,0,1
43,1963,12043,4,10,0,1
44,1963,12044,4,14,0,1
45,1963,12045,4,21,0,1
46,1963,12046,4,8,0,1
47,1963,12047,4,7,0,1
48,1963,12048,4,15,0,1
49,1963,12049,4,12,0,1
50,1963,12050,4,6,0,1
51,1963,12051,4,9,0,1
52,1963,12052,4,20,0,1
53,1963,12053,4,19,0,1
54,1963,12054,4,16,0,1
55,1963,12055,4,18,0,1
56,1963,12056,4,4,0,1
57,1963,12057,4,3,0,1
58,1963,12058,4,5,0,1
59,1963,12059,4,17,0,1
60,1963,12060,4,1,0,1
61,1963,12061,4,2,0,1
62,1963,12062,4,11,0,1
63,1963,12063,4,13,0,1
64,1963,12064,4,11,0,1
65,1963,12065,4,2,0,1
66,1963,12066,4,6,0,1
67,1963,12067,4,12,0,1
68,1963,12068,4,19,0,1
69,1963,12069,4,7,0,1
70,1963,12070,4,18,0,1
71,1963,12071,4,20,0,1
72,1963,12072,4,3,0,1
73,1963,12073,4,13,0,1
74,1963,12074,4,21,0,1
75,1963,12075,4,17,0,1
76,1963,12076,4,9,0,1
77,1963,12077,4,5,0,1
78,1963,12078,4,15,0,1
79,1963,12079,4,16,0,1
80,1963,12080,4,8,0,1
81,1963,12081,4,4,0,1
82,1963,12082,4,10,0,1
83,1963,12083,4,1,0,1
84,1963,12084,4,14,0,1
85,1963,12085,4,2,0,1
86,1963,12086,4,7,0,1
87,1963,12087,4,11,0,1
88,1963,12088,4,17,0,1
89,1963,12089,4,4,0,1
90,1963,12090,4,3,0,1
91,1963,12091,4,10,0,1
92,1963,12092,4,9,0,1
93,1963,12093,4,18,0,1
94,1963,12094,4,14,0,1
95,1963,12095,4,5,0,1
96,1963,12096,4,20,0,1
97,1963,12097,4,21,0,1
98,1963,12098,4,15,0,1
99,1963,12099,4,16,0,1
100,1963,12100,4,8,0,1
101,1963,12101,4,1,0,1
102,1963,12102,4,13,0,1
103,1963,12103,4,12,0,1
104,1963,12104,4,6,0,1
105,1963,12105,4,19,0,1
106,1963,12106,4,12,0,1
107,1963,12107,4,1,0,1
108,1963,12108,4,10,0,1
109,1963,12109,4,11,0,1
110,1963,12110,4,13,0,1
111,1963,12111,4,5,0,1
112,1963,12112,4,6,0,1
113,1963,12113,4,8,0,1
114,1963,12114,4,4,0,1
115,1963,12115,4,3,0,1
116,1963,12116,4,7,0,1
117,1963,12117,4,9,0,1
118,1963,12118,4,17,0,1
119,1963,12119,4,20,0,1
120,1963,12120,4,18,0,1
121,1963,12121,4,21,0,1
122,1963,12122,4,2,0,1
123,1963,12123,4,15,0,1
124,1963,12124,4,14,0,1
125,1963,12125,4,19,0,1
126,1963,12126,4,16,0,1
127,1963,12127,4,4,0,1
128,1963,12128,4,10,0,1
129,1963,12129,4,7,0,1
130,1963,12130,4,20,0,1
131,1963,12131,4,5,0,1
132,1963,12132,4,8,0,1
133,1963,12133,4,11,0,1
134,1963,12134,4,1,0,1
135,1963,12135,4,12,0,1
136,1963,12136,4,18,0,1
137,1963,12137,4,2,0,1
138,1963,12138,4,6,0,1
139,1963,12139,4,13,0,1
140,1963,12140,4,9,0,1
141,1963,12141,4,17,0,1
142,1963,12142,4,19,0,1
143,1963,12143,4,15,0,1
144,1963,12144,4,14,0,1
145,1963,12145,4,3,0,1
146,1963,12146,4,16,0,1
147,1963,12147,4,21,0,1
148,1964,12001,7,13,0,1
149,1964,12002,7,15,0,1
150,1964,12003,7,9,0,1
151,1964,12004,7,3,0,1
152,1964,12005,7,8,0,1
153,1964,12006,7,12,0,1
154,1964,12007,7,1,0,1
155,1964,12008,7,14,0,1
156,1964,12009,7,17,0,1
157,1964,12010,7,4,0,1
158,1964,12011,7,16,0,1
159,1964,12012,7,21,0,1
160,1964,12013,7,10,0,1
161,1964,12014,7,7,0,1
162,1964,12015,7,19,0,1
163,1964,12016,7,11,0,1
164,1964,12017,7,5,0,1
165,1964,12018,7,6,0,1
166,1964,12019,7,18,0,1
167,1964,12020,7,20,0,1
168,1964,12021,7,2,0,1
169,1964,12022,7,7,0,1
170,1964,12023,7,6,0,1
171,1964,12024,7,16,0,1
172,1964,12025,7,9,0,1
173,1964,12026,7,15,0,1
174,1964,12027,7,4,0,1
175,1964,12028,7,8,0,1
176,1964,12029,7,5,0,1
177,1964,12030,7,13,0,1
178,1964,12031,7,12,0,1
179,1964,12032,7,18,0,1
180,1964,12033,7,1,0,1
181,1964,12034,7,14,0,1
182,1964,12035,7,17,0,1
183,1964,12036,7,21,0,1
184,1964,12037,7,20,0,1
185,1964,12038,7,19,0,1
186,1964,12039,7,10,0,1
187,1964,12040,7,11,0,1
188,1964,12041,7,2,0,1
189,1964,12042,7,3,0,1
190,1964,12043,7,10,0,1
191,1964,12044,7,14,0,1
192,1964,12045,7,21,0,1
193,1964,12046,7,8,0,1
194,1964,12047,7,7,0,1
195,1964,12048,7,15,0,1
