Pflanzenlaborwerte_ID,Probenahme_Pflanzen_ID,Zucker,Hp_N,Hp_P,Hp_K,Hp_Mg,Hp_Ca,Hp_Na,Np_N,Np_P,Np_K,Np_Mg,Np_Ca,Np_Na
1,1,20.08,0.34,0.23,0.93,0.13,0.17,0.05,2.13,0.41,4.51,1.35,1.35,1.33
2,2,20.08,0.34,0.23,0.93,0.13,0.17,0.05,2.13,0.41,4.51,1.35,1.35,1.33
3,3,20.08,0.34,0.23,0.93,0.13,0.17,0.05,2.13,0.41,4.51,1.35,1.35,1.33
4,4,20.65,0.67,0.22,0.89,0.09,0.13,0.04,1.5,0.38,4.38,1.05,1.15,0.82
5,5,20.65,0.67,0.22,0.89,0.09,0.13,0.04,1.5,0.38,4.38,1.05,1.15,0.82
6,6,20.65,0.67,0.22,0.89,0.09,0.13,0.04,1.5,0.38,4.38,1.05,1.15,0.82
7,7,18.78,0.66,0.22,1.05,0.13,0.14,0.05,1.88,0.38,5.03,1.18,1.07,0.86
8,8,18.78,0.66,0.22,1.05,0.13,0.14,0.05,1.88,0.38,5.03,1.18,1.07,0.86
9,9,18.78,0.66,0.22,1.05,0.13,0.14,0.05,1.88,0.38,5.03,1.18,1.07,0.86
10,10,20.37,0.71,0.24,0.94,0.11,0.13,0.05,2.25,0.4,4.41,1.17,0.85,0.88
11,11,20.37,0.71,0.24,0.94,0.11,0.13,0.05,2.25,0.4,4.41,1.17,0.85,0.88
12,12,20.37,0.71,0.24,0.94,0.11,0.13,0.05,2.25,0.4,4.41,1.17,0.85,0.88
13,13,19.07,0.47,0.23,0.98,0.14,0.15,0.06,2.31,0.46,4.8,1.21,0.86,1
14,14,19.07,0.47,0.23,0.98,0.14,0.15,0.06,2.31,0.46,4.8,1.21,0.86,1
15,15,19.07,0.47,0.23,0.98,0.14,0.15,0.06,2.31,0.46,4.8,1.21,0.86,1
16,16,18.78,0.62,0.23,1.09,0.19,0.15,0.07,2.19,0.37,4.41,1.58,1.03,1.73
17,17,18.78,0.62,0.23,1.09,0.19,0.15,0.07,2.19,0.37,4.41,1.58,1.03,1.73
18,18,18.78,0.62,0.23,1.09,0.19,0.15,0.07,2.19,0.37,4.41,1.58,1.03,1.73
19,19,18.93,0.79,0.23,0.98,0.13,0.14,0.09,2.1,0.43,4.32,1.18,0.78,1.33
20,20,18.93,0.79,0.23,0.98,0.13,0.14,0.09,2.1,0.43,4.32,1.18,0.78,1.33
21,21,18.93,0.79,0.23,0.98,0.13,0.14,0.09,2.1,0.43,4.32,1.18,0.78,1.33
22,22,18.93,0.79,0.24,1.04,0.14,0.13,0.11,2.46,0.46,4.7,1.47,0.91,1.5
23,23,18.93,0.79,0.24,1.04,0.14,0.13,0.11,2.46,0.46,4.7,1.47,0.91,1.5
24,24,18.93,0.79,0.24,1.04,0.14,0.13,0.11,2.46,0.46,4.7,1.47,0.91,1.5
25,25,18.06,0.79,0.2,1.08,0.16,0.14,0.11,1.92,0.41,3.96,1.15,0.65,1.17
26,26,18.06,0.79,0.2,1.08,0.16,0.14,0.11,1.92,0.41,3.96,1.15,0.65,1.17
27,27,18.06,0.79,0.2,1.08,0.16,0.14,0.11,1.92,0.41,3.96,1.15,0.65,1.17
28,28,18.93,0.76,0.21,0.96,0.18,0.14,0.07,2.34,0.47,4.58,1.35,0.69,1.65
29,29,18.93,0.76,0.21,0.96,0.18,0.14,0.07,2.34,0.47,4.58,1.35,0.69,1.65
30,30,18.93,0.76,0.21,0.96,0.18,0.14,0.07,2.34,0.47,4.58,1.35,0.69,1.65
31,31,19.94,0.59,0.21,0.98,0.11,0.15,0.04,1.79,0.4,5.27,1.4,1.19,1.12
32,32,19.94,0.59,0.21,0.98,0.11,0.15,0.04,1.79,0.4,5.27,1.4,1.19,1.12
33,33,19.94,0.59,0.21,0.98,0.11,0.15,0.04,1.79,0.4,5.27,1.4,1.19,1.12
34,34,19.65,0.67,0.19,0.97,0.07,0.14,0.03,2.06,0.47,4.4,1.25,0.8,1.07
35,35,19.65,0.67,0.19,0.97,0.07,0.14,0.03,2.06,0.47,4.4,1.25,0.8,1.07
36,36,19.65,0.67,0.19,0.97,0.07,0.14,0.03,2.06,0.47,4.4,1.25,0.8,1.07
37,37,19.22,0.76,0.21,1.02,0.08,0.11,0.05,2.4,0.47,4.99,1.33,0.89,1.2
38,38,19.22,0.76,0.21,1.02,0.08,0.11,0.05,2.4,0.47,4.99,1.33,0.89,1.2
39,39,19.22,0.76,0.21,1.02,0.08,0.11,0.05,2.4,0.47,4.99,1.33,0.89,1.2
40,40,18.64,0.81,0.22,1.09,0.11,0.13,0.05,2.52,0.48,4.5,1.16,0.81,1.09
41,41,18.64,0.81,0.22,1.09,0.11,0.13,0.05,2.52,0.48,4.5,1.16,0.81,1.09
42,42,18.64,0.81,0.22,1.09,0.11,0.13,0.05,2.52,0.48,4.5,1.16,0.81,1.09
43,43,18.64,0.79,0.22,1.05,0.12,0.16,0.08,2.36,0.47,4.26,1.08,0.8,0.91
44,44,18.64,0.79,0.22,1.05,0.12,0.16,0.08,2.36,0.47,4.26,1.08,0.8,0.91
45,45,18.64,0.79,0.22,1.05,0.12,0.16,0.08,2.36,0.47,4.26,1.08,0.8,0.91
46,46,,1.86,0.42,0.45,0.17,0.07,0.02,0.45,0.09,0.41,0.1,0.26,0.02
47,47,,1.86,0.42,0.45,0.17,0.07,0.02,0.45,0.09,0.41,0.1,0.26,0.02
48,48,,1.86,0.42,0.45,0.17,0.07,0.02,0.45,0.09,0.41,0.1,0.26,0.02
49,49,,1.91,0.43,0.44,0.16,0.07,0.02,0.5,0.08,0.41,0.1,0.24,0.02
50,50,,1.91,0.43,0.44,0.16,0.07,0.02,0.5,0.08,0.41,0.1,0.24,0.02
51,51,,1.91,0.43,0.44,0.16,0.07,0.02,0.5,0.08,0.41,0.1,0.24,0.02
52,52,,1.98,0.41,0.43,0.16,0.07,0.02,0.53,0.08,0.47,0.11,0.24,0.02
53,53,,1.98,0.41,0.43,0.16,0.07,0.02,0.53,0.08,0.47,0.11,0.24,0.02
54,54,,1.98,0.41,0.43,0.16,0.07,0.02,0.53,0.08,0.47,0.11,0.24,0.02
55,55,,2.06,0.38,0.38,0.14,0.08,0.02,0.63,0.08,0.49,0.11,0.23,0.02
56,56,,2.06,0.38,0.38,0.14,0.08,0.02,0.63,0.08,0.49,0.11,0.23,0.02
57,57,,2.06,0.38,0.38,0.14,0.08,0.02,0.63,0.08,0.49,0.11,0.23,0.02
58,58,,2.22,0.39,0.41,0.14,0.07,0.02,0.72,0.08,0.53,0.11,0.25,0.02
59,59,,2.22,0.39,0.41,0.14,0.07,0.02,0.72,0.08,0.53,0.11,0.25,0.02
60,60,,2.22,0.39,0.41,0.14,0.07,0.02,0.72,0.08,0.53,0.11,0.25,0.02
61,61,,1.68,0.39,0.41,0.14,0.07,0.02,0.41,0.09,0.41,0.08,0.24,0.02
62,62,,1.68,0.39,0.41,0.14,0.07,0.02,0.41,0.09,0.41,0.08,0.24,0.02
63,63,,1.68,0.39,0.41,0.14,0.07,0.02,0.41,0.09,0.41,0.08,0.24,0.02
64,64,,1.7,0.37,0.39,0.14,0.06,0.02,0.41,0.07,0.41,0.09,0.21,0.02
65,65,,1.7,0.37,0.39,0.14,0.06,0.02,0.41,0.07,0.41,0.09,0.21,0.02
66,66,,1.7,0.37,0.39,0.14,0.06,0.02,0.41,0.07,0.41,0.09,0.21,0.02
67,67,,1.52,0.36,0.37,0.13,0.07,0.02,0.46,0.07,0.46,0.11,0.24,0.02
68,68,,1.52,0.36,0.37,0.13,0.07,0.02,0.46,0.07,0.46,0.11,0.24,0.02
69,69,,1.52,0.36,0.37,0.13,0.07,0.02,0.46,0.07,0.46,0.11,0.24,0.02
70,70,,1.96,0.37,0.39,0.14,0.08,0.02,0.6,0.08,0.49,0.11,0.24,0.02
71,71,,1.96,0.37,0.39,0.14,0.08,0.02,0.6,0.08,0.49,0.11,0.24,0.02
72,72,,1.96,0.37,0.39,0.14,0.08,0.02,0.6,0.08,0.49,0.11,0.24,0.02
73,73,,2.15,0.38,0.38,0.13,0.07,0.02,0.6,0.08,0.55,0.12,0.22,0.02
74,74,,2.15,0.38,0.38,0.13,0.07,0.02,0.6,0.08,0.55,0.12,0.22,0.02
75,75,,2.15,0.38,0.38,0.13,0.07,0.02,0.6,0.08,0.55,0.12,0.22,0.02
76,76,,1.74,0.4,0.41,0.13,0.07,0.02,0.4,0.09,0.45,0.09,0.25,0.02
77,77,,1.74,0.4,0.41,0.13,0.07,0.02,0.4,0.09,0.45,0.09,0.25,0.02
78,78,,1.74,0.4,0.41,0.13,0.07,0.02,0.4,0.09,0.45,0.09,0.25,0.02
79,79,,1.7,0.38,0.39,0.13,0.07,0.02,0.36,0.07,0.42,0.09,0.21,0.02
80,80,,1.7,0.38,0.39,0.13,0.07,0.02,0.36,0.07,0.42,0.09,0.21,0.02
81,81,,1.7,0.38,0.39,0.13,0.07,0.02,0.36,0.07,0.42,0.09,0.21,0.02
82,82,,1.91,0.42,0.43,0.14,0.07,0.02,0.41,0.08,0.47,0.1,0.24,0.02
83,83,,1.91,0.42,0.43,0.14,0.07,0.02,0.41,0.08,0.47,0.1,0.24,0.02
84,84,,1.91,0.42,0.43,0.14,0.07,0.02,0.41,0.08,0.47,0.1,0.24,0.02
85,85,,1.82,0.35,0.35,0.14,0.07,0.02,0.57,0.09,0.58,0.14,0.29,0.02
86,86,,1.82,0.35,0.35,0.14,0.07,0.02,0.57,0.09,0.58,0.14,0.29,0.02
87,87,,1.82,0.35,0.35,0.14,0.07,0.02,0.57,0.09,0.58,0.14,0.29,0.02
88,88,,2.1,0.35,0.35,0.13,0.07,0.02,0.5,0.08,0.54,0.11,0.25,0.02
89,89,,2.1,0.35,0.35,0.13,0.07,0.02,0.5,0.08,0.54,0.11,0.25,0.02
90,90,,2.1,0.35,0.35,0.13,0.07,0.02,0.5,0.08,0.54,0.11,0.25,0.02
91,91,,1.53,0.42,0.54,0.12,0.08,0.03,0.42,0.1,1.85,0.37,0.28,0.1
92,92,,1.53,0.42,0.54,0.12,0.08,0.03,0.42,0.1,1.85,0.37,0.28,0.1
93,93,,1.53,0.42,0.54,0.12,0.08,0.03,0.42,0.1,1.85,0.37,0.28,0.1
94,94,,1.62,0.43,0.63,0.1,0.07,0.03,0.51,0.1,1.84,0.35,0.32,0.13
95,95,,1.62,0.43,0.63,0.1,0.07,0.03,0.51,0.1,1.84,0.35,0.32,0.13
96,96,,1.62,0.43,0.63,0.1,0.07,0.03,0.51,0.1,1.84,0.35,0.32,0.13
97,97,,1.79,0.43,0.66,0.13,0.07,0.03,0.59,0.11,2.04,0.42,0.29,0.14
98,98,,1.79,0.43,0.66,0.13,0.07,0.03,0.59,0.11,2.04,0.42,0.29,0.14
99,99,,1.79,0.43,0.66,0.13,0.07,0.03,0.59,0.11,2.04,0.42,0.29,0.14
100,100,,1.84,0.42,0.66,0.11,0.07,0.03,0.56,0.1,2.02,0.42,0.29,0.15
101,101,,1.84,0.42,0.66,0.11,0.07,0.03,0.56,0.1,2.02,0.42,0.29,0.15
102,102,,1.84,0.42,0.66,0.11,0.07,0.03,0.56,0.1,2.02,0.42,0.29,0.15
103,103,,1.8,0.43,0.67,0.13,0.08,0.03,0.83,0.09,2.25,0.53,0.38,0.13
104,104,,1.8,0.43,0.67,0.13,0.08,0.03,0.83,0.09,2.25,0.53,0.38,0.13
105,105,,1.8,0.43,0.67,0.13,0.08,0.03,0.83,0.09,2.25,0.53,0.38,0.13
106,106,,1.28,0.39,0.64,0.12,0.06,0.03,0.37,0.11,1.63,0.37,0.3,0.11
107,107,,1.28,0.39,0.64,0.12,0.06,0.03,0.37,0.11,1.63,0.37,0.3,0.11
108,108,,1.28,0.39,0.64,0.12,0.06,0.03,0.37,0.11,1.63,0.37,0.3,0.11
109,109,,1.47,0.4,0.61,0.13,0.07,0.02,0.45,0.11,1.72,0.37,0.3,0.11
110,110,,1.47,0.4,0.61,0.13,0.07,0.02,0.45,0.11,1.72,0.37,0.3,0.11
111,111,,1.47,0.4,0.61,0.13,0.07,0.02,0.45,0.11,1.72,0.37,0.3,0.11
112,112,,1.7,0.41,0.65,0.13,0.07,0.03,0.49,0.1,1.73,0.37,0.3,0.09
113,113,,1.7,0.41,0.65,0.13,0.07,0.03,0.49,0.1,1.73,0.37,0.3,0.09
114,114,,1.7,0.41,0.65,0.13,0.07,0.03,0.49,0.1,1.73,0.37,0.3,0.09
115,115,,1.82,0.38,0.66,0.12,0.07,0.03,0.59,0.09,1.86,0.42,0.36,0.13
116,116,,1.82,0.38,0.66,0.12,0.07,0.03,0.59,0.09,1.86,0.42,0.36,0.13
117,117,,1.82,0.38,0.66,0.12,0.07,0.03,0.59,0.09,1.86,0.42,0.36,0.13
118,118,,2.15,0.42,0.67,0.14,0.07,0.03,0.68,0.08,1.99,0.47,0.37,0.14
119,119,,2.15,0.42,0.67,0.14,0.07,0.03,0.68,0.08,1.99,0.47,0.37,0.14
120,120,,2.15,0.42,0.67,0.14,0.07,0.03,0.68,0.08,1.99,0.47,0.37,0.14
121,121,,1.33,0.38,0.66,0.13,0.07,0.02,0.31,0.09,1.75,0.36,0.33,0.09
122,122,,1.33,0.38,0.66,0.13,0.07,0.02,0.31,0.09,1.75,0.36,0.33,0.09
123,123,,1.33,0.38,0.66,0.13,0.07,0.02,0.31,0.09,1.75,0.36,0.33,0.09
124,124,,1.47,0.4,0.65,0.12,0.07,0.03,0.47,0.07,1.72,0.36,0.28,0.08
125,125,,1.47,0.4,0.65,0.12,0.07,0.03,0.47,0.07,1.72,0.36,0.28,0.08
126,126,,1.47,0.4,0.65,0.12,0.07,0.03,0.47,0.07,1.72,0.36,0.28,0.08
127,127,,1.72,0.42,0.67,0.13,0.08,0.03,0.59,0.1,1.94,0.42,0.36,0.11
128,128,,1.72,0.42,0.67,0.13,0.08,0.03,0.59,0.1,1.94,0.42,0.36,0.11
129,129,,1.72,0.42,0.67,0.13,0.08,0.03,0.59,0.1,1.94,0.42,0.36,0.11
130,130,,2.1,0.43,0.67,0.14,0.08,0.03,0.57,0.09,2.06,0.44,0.29,0.15
131,131,,2.1,0.43,0.67,0.14,0.08,0.03,0.57,0.09,2.06,0.44,0.29,0.15
132,132,,2.1,0.43,0.67,0.14,0.08,0.03,0.57,0.09,2.06,0.44,0.29,0.15
133,133,,2.11,0.42,0.64,0.14,0.07,0.03,0.66,0.1,2.14,0.5,0.33,0.14
134,134,,2.11,0.42,0.64,0.14,0.07,0.03,0.66,0.1,2.14,0.5,0.33,0.14
135,135,,2.11,0.42,0.64,0.14,0.07,0.03,0.66,0.1,2.14,0.5,0.33,0.14
136,136,19.2,0.27,0.17,0.7,0.13,0.14,0.03,1.81,0.31,3.95,0.5,1.43,1.34
137,137,19.2,0.27,0.17,0.7,0.13,0.14,0.03,1.81,0.31,3.95,0.5,1.43,1.34
