Probenahme_Pflanzen_ID,Versuchsjahr,Parzelle_ID
1,1985,1
2,1985,54
3,1985,91
4,1985,18
5,1985,55
6,1985,108
7,1985,19
8,1985,72
9,1985,109
10,1985,36
11,1985,73
12,1985,126
13,1985,37
14,1985,90
15,1985,127
16,1985,2
17,1985,53
18,1985,92
19,1985,17
20,1985,56
21,1985,107
22,1985,20
23,1985,71
24,1985,110
25,1985,35
26,1985,74
27,1985,125
28,1985,38
29,1985,89
30,1985,128
31,1985,3
32,1985,52
33,1985,93
34,1985,16
35,1985,57
36,1985,106
37,1985,21
38,1985,70
39,1985,111
40,1985,34
41,1985,75
42,1985,124
43,1985,39
44,1985,88
45,1985,129
46,1985,4
47,1985,51
48,1985,94
49,1985,15
50,1985,58
51,1985,105
52,1985,22
53,1985,69
54,1985,112
55,1985,33
56,1985,76
57,1985,123
58,1985,40
59,1985,87
60,1985,130
61,1985,5
62,1985,50
63,1985,95
64,1985,14
65,1985,59
66,1985,104
67,1985,23
68,1985,68
69,1985,113
70,1985,32
71,1985,77
72,1985,122
73,1985,41
74,1985,86
75,1985,131
76,1985,6
77,1985,49
78,1985,96
79,1985,13
80,1985,60
81,1985,103
82,1985,24
83,1985,67
84,1985,114
85,1985,31
86,1985,78
87,1985,121
88,1985,42
89,1985,85
90,1985,132
91,1985,7
92,1985,48
93,1985,97
94,1985,12
95,1985,61
96,1985,102
97,1985,25
98,1985,66
99,1985,115
100,1985,30
101,1985,79
102,1985,120
103,1985,43
104,1985,84
105,1985,133
106,1985,8
107,1985,47
108,1985,98
109,1985,11
110,1985,62
111,1985,101
112,1985,26
113,1985,65
114,1985,116
115,1985,29
116,1985,80
117,1985,119
118,1985,44
119,1985,83
120,1985,134
121,1985,9
122,1985,46
123,1985,99
124,1985,10
125,1985,63
126,1985,100
127,1985,27
128,1985,64
129,1985,117
130,1985,28
131,1985,81
132,1985,118
133,1985,45
134,1985,82
135,1985,135
136,1986,7
137,1986,48
138,1986,97
139,1986,12
140,1986,61
141,1986,102
142,1986,25
143,1986,66
144,1986,115
145,1986,30
146,1986,79
147,1986,120
148,1986,43
149,1986,84
150,1986,133
151,1986,8
152,1986,47
153,1986,98
154,1986,11
155,1986,62
156,1986,101
157,1986,26
158,1986,65
159,1986,116
160,1986,29
161,1986,80
162,1986,119
163,1986,44
164,1986,83
165,1986,134
166,1986,9
167,1986,46
168,1986,99
169,1986,10
170,1986,63
171,1986,100
172,1986,27
173,1986,64
174,1986,117
175,1986,28
176,1986,81
177,1986,118
178,1986,45
179,1986,82
180,1986,135
181,1986,1
182,1986,54
183,1986,91
184,1986,18
185,1986,55
186,1986,108
187,1986,19
188,1986,72
189,1986,109
190,1986,36
191,1986,73
192,1986,126
193,1986,37
194,1986,90
195,1986,127
196,1986,2
197,1986,53
198,1986,92
199,1986,17
200,1986,56
201,1986,107
202,1986,20
203,1986,71
204,1986,110
205,1986,35
206,1986,74
207,1986,125
208,1986,38
209,1986,89
210,1986,128
211,1986,3
212,1986,52
213,1986,93
214,1986,16
215,1986,57
216,1986,106
217,1986,21
218,1986,70
219,1986,111
220,1986,34
221,1986,75
222,1986,124
223,1986,39
224,1986,88
225,1986,129
226,1986,4
227,1986,51
228,1986,94
229,1986,15
230,1986,58
231,1986,105
232,1986,22
233,1986,69
234,1986,112
235,1986,33
236,1986,76
237,1986,123
238,1986,40
239,1986,87
240,1986,130
241,1986,5
242,1986,50
243,1986,95
244,1986,14
245,1986,59
246,1986,104
247,1986,23
248,1986,68
249,1986,113
250,1986,32
251,1986,77
252,1986,122
253,1986,41
254,1986,86
255,1986,131
256,1986,6
257,1986,49
258,1986,96
259,1986,13
260,1986,60
261,1986,103
262,1986,24
