Bodenlaborwerte_ID,Probenahme_Boden_ID,pH_Wert,NO3,C,N,K2O,P2O5,TPF_5gTrM
1,1,,,1118,133,,,
2,2,,,1118,133,,,
3,3,,,1118,133,,,
4,4,,,475,67,,,
5,5,,,475,67,,,
6,6,,,475,67,,,
7,7,,,341,51,,,
8,8,,,341,51,,,
9,9,,,341,51,,,
10,10,,,910,112,,,
11,11,,,910,112,,,
12,12,,,910,112,,,
13,13,,,449,67,,,
14,14,,,449,67,,,
15,15,,,449,67,,,
16,16,,,429,47,,,
17,17,,,429,47,,,
18,18,,,429,47,,,
19,19,,,861,107,,,
20,20,,,861,107,,,
21,21,,,861,107,,,
22,22,,,495,69,,,
23,23,,,495,69,,,
24,24,,,495,69,,,
25,25,,,312,53,,,
26,26,,,312,53,,,
27,27,,,312,53,,,
28,28,,,913,114,,,
29,29,,,913,114,,,
30,30,,,913,114,,,
31,31,,,500,75,,,
32,32,,,500,75,,,
33,33,,,500,75,,,
34,34,,,268,46,,,
35,35,,,268,46,,,
36,36,,,268,46,,,
37,37,,,906,113,,,
38,38,,,906,113,,,
39,39,,,906,113,,,
40,40,,,533,75,,,
41,41,,,533,75,,,
42,42,,,533,75,,,
43,43,,,286,51,,,
44,44,,,286,51,,,
45,45,,,286,51,,,
46,46,,,748,96,,,
47,47,,,748,96,,,
48,48,,,748,96,,,
49,49,,,758,95,,,
50,50,,,758,95,,,
51,51,,,758,95,,,
52,52,,,779,97,,,
53,53,,,779,97,,,
54,54,,,779,97,,,
55,55,,,974,117,,,
56,56,,,974,117,,,
57,57,,,974,117,,,
58,58,,,1076,125,,,
59,59,,,1076,125,,,
60,60,,,1076,125,,,
61,61,,,1100,132,,,
62,62,,,1100,132,,,
63,63,,,1100,132,,,
64,64,,,994,121,,,
65,65,,,994,121,,,
66,66,,,994,121,,,
67,67,,,1042,124,,,
68,68,,,1042,124,,,
69,69,,,1042,124,,,
70,70,,,1081,130,,,
71,71,,,1081,130,,,
72,72,,,1081,130,,,
73,73,,,1207,142,,,
74,74,,,1207,142,,,
75,75,,,1207,142,,,
76,76,,,1020,121,,,
77,77,,,1020,121,,,
78,78,,,1020,121,,,
79,79,,,1160,136,,,
80,80,,,1160,136,,,
81,81,,,1160,136,,,
82,82,,,913,110,,,
83,83,,,913,110,,,
84,84,,,913,110,,,
85,85,,,858,104,,,
86,86,,,858,104,,,
87,87,,,858,104,,,
88,88,,,948,120,,,
89,89,,,948,120,,,
90,90,,,948,120,,,
91,91,6.5,,,,30.6,23.2,
92,92,6.5,,,,30.6,23.2,
93,93,6.5,,,,30.6,23.2,
94,94,6.4,,,,22,18.5,
95,95,6.4,,,,22,18.5,
96,96,6.4,,,,22,18.5,
97,97,6.5,,,,16.4,16.5,
98,98,6.5,,,,16.4,16.5,
99,99,6.5,,,,16.4,16.5,
100,100,6.6,,,,52.2,27.9,
101,101,6.6,,,,52.2,27.9,
102,102,6.6,,,,52.2,27.9,
103,103,6.6,,,,37.9,25.3,
104,104,6.6,,,,37.9,25.3,
105,105,6.6,,,,37.9,25.3,
106,106,6.4,,,,27.6,16.8,
107,107,6.4,,,,27.6,16.8,
108,108,6.4,,,,27.6,16.8,
109,109,6.8,,,,55.2,24.3,
110,110,6.8,,,,55.2,24.3,
111,111,6.8,,,,55.2,24.3,
112,112,6.8,,,,44.4,29.1,
113,113,6.8,,,,44.4,29.1,
114,114,6.8,,,,44.4,29.1,
115,115,6.7,,,,32.3,29.33,
116,116,6.7,,,,32.3,29.33,
117,117,6.7,,,,32.3,29.33,
118,118,5.8,,,,19.5,10.2,
119,119,5.8,,,,19.5,10.2,
120,120,5.8,,,,19.5,10.2,
121,121,5.5,,,,16.3,8.2,
122,122,5.5,,,,16.3,8.2,
123,123,5.5,,,,16.3,8.2,
124,124,5.5,,,,14.9,9,
125,125,5.5,,,,14.9,9,
126,126,5.5,,,,14.9,9,
127,127,5.5,,,,15,8.3,
128,128,5.5,,,,15,8.3,
129,129,5.5,,,,15,8.3,
130,130,5.4,,,,15.7,7.1,
131,131,5.4,,,,15.7,7.1,
132,132,5.4,,,,15.7,7.1,
