Ertrag_ID,Versuchsjahr,Parzelle_ID,Ernte_ID,Hp_Parzelle,Hp_Frischmasse,Hp_Trockenmasse,Hp_TM_Gehalt_Mittel,Np_Parzelle,Np_Frischmasse,Np_Trockenmasse,Np_TM_Gehalt_Mittel,Parzellengroeße,TKG
1,1985,1,1,97,560.693641618497,141.85549132948,25.3,49.3,284.971098265896,40.1809248554913,14.1,17.3,
2,1985,54,2,78.3,452.601156069364,114.508092485549,25.3,45,260.115606936416,36.6763005780347,14.1,17.3,
3,1985,91,3,74.3,429.479768786127,108.65838150289,25.3,41.3,238.728323699422,33.6606936416185,14.1,17.3,
4,1985,18,4,113.1,653.757225433526,162.131791907514,24.8,61.3,354.335260115607,54.5676300578035,15.4,17.3,
5,1985,55,5,108.9,629.479768786127,156.11098265896,24.8,71.6,413.872832369942,63.7364161849711,15.4,17.3,
6,1985,108,6,106.7,616.763005780347,152.957225433526,24.8,59.1,341.618497109827,52.6092485549133,15.4,17.3,
7,1985,19,7,115,664.739884393064,158.872832369942,23.9,70,404.624277456647,54.6242774566474,13.5,17.3,
8,1985,72,8,101.9,589.017341040462,140.775144508671,23.9,74.2,428.901734104046,57.9017341040463,13.5,17.3,
9,1985,109,9,117.9,681.50289017341,162.879190751445,23.9,67.3,389.017341040462,52.5173410404624,13.5,17.3,
10,1985,36,10,111.6,645.086705202312,160.626589595376,24.9,75.4,435.838150289017,57.9664739884393,13.3,17.3,
11,1985,73,11,104.1,601.734104046243,149.831791907514,24.9,87.7,506.936416184971,67.4225433526012,13.3,17.3,
12,1985,126,12,116.9,675.722543352601,168.254913294798,24.9,82,473.988439306358,63.0404624277457,13.3,17.3,
13,1985,37,13,121.3,701.156069364162,174.587861271676,24.9,86.3,498.843930635838,62.3554913294798,12.5,17.3,
14,1985,90,14,120.9,698.843930635838,174.012138728324,24.9,106.3,614.450867052023,76.8063583815029,12.5,17.3,
15,1985,127,15,122.7,709.248554913295,176.60289017341,24.9,88.7,512.71676300578,64.0895953757225,12.5,17.3,
16,1985,2,16,127,734.104046242775,170.312138728324,23.2,93.5,540.462427745665,66.4768786127168,12.3,17.3,
17,1985,53,17,114.3,660.693641618497,153.280924855491,23.2,77.3,446.820809248555,54.9589595375723,12.3,17.3,
18,1985,92,18,127.5,736.994219653179,170.982658959538,23.2,90.1,520.809248554913,64.0595375722543,12.3,17.3,
19,1985,17,19,129.5,748.554913294798,177.407514450867,23.7,91.5,528.901734104046,62.9393063583815,11.9,17.3,
20,1985,56,20,117.8,680.924855491329,161.379190751445,23.7,95.5,552.023121387283,65.6907514450867,11.9,17.3,
21,1985,107,21,117.8,680.924855491329,161.379190751445,23.7,100,578.034682080925,68.7861271676301,11.9,17.3,
22,1985,20,22,120.5,696.531791907515,167.864161849711,24.1,107.3,620.231213872832,76.9086705202312,12.4,17.3,
23,1985,71,23,127.7,738.150289017341,177.894219653179,24.1,115.6,668.208092485549,82.8578034682081,12.4,17.3,
24,1985,110,24,128.1,740.462427745665,178.451445086705,24.1,109.4,632.369942196532,78.41387283237,12.4,17.3,
25,1985,35,25,113.2,654.335260115607,153.114450867052,23.4,97.5,563.583815028902,73.2658959537572,13,17.3,
26,1985,74,26,166.7,963.583815028902,225.478612716763,23.4,113.5,656.06936416185,85.2890173410405,13,17.3,
27,1985,125,27,121.5,702.312138728324,164.341040462428,23.4,112.5,650.28901734104,84.5375722543353,13,17.3,
28,1985,38,28,125.4,724.85549132948,176.864739884393,24.4,112.7,651.445086705202,70.3560693641619,10.8,17.3,
29,1985,89,29,126.4,730.635838150289,178.275144508671,24.4,130.5,754.335260115607,81.4682080924856,10.8,17.3,
30,1985,128,30,131.9,762.42774566474,186.032369942197,24.4,123.7,715.028901734104,77.2231213872832,10.8,17.3,
31,1985,3,31,117.6,679.768786127168,175.380346820809,25.8,71.7,414.450867052023,57.6086705202312,13.9,17.3,
32,1985,52,32,101.8,588.439306358381,151.817341040462,25.8,67.8,391.907514450867,54.4751445086705,13.9,17.3,
33,1985,93,33,109.5,632.947976878613,163.300578034682,25.8,60,346.820809248555,48.2080924855491,13.9,17.3,
34,1985,16,34,122.9,710.404624277457,175.469942196532,24.7,80,462.42774566474,63.3526011560694,13.7,17.3,
35,1985,57,35,118.9,687.28323699422,169.758959537572,24.7,95.2,550.28901734104,75.3895953757225,13.7,17.3,
36,1985,106,36,112.9,652.601156069364,161.192485549133,24.7,70,404.624277456647,55.4335260115607,13.7,17.3,
37,1985,21,37,119.3,689.595375722543,168.261271676301,24.4,91.3,527.745664739884,67.5514450867052,12.8,17.3,
38,1985,70,38,125.1,723.121387283237,176.44161849711,24.4,106,612.71676300578,78.4277456647399,12.8,17.3,
39,1985,111,39,128.2,741.040462427746,180.81387283237,24.4,94,543.352601156069,69.5491329479769,12.8,17.3,
40,1985,34,40,115.9,669.942196531792,161.456069364162,24.1,94.3,545.086705202312,72.4965317919075,13.3,17.3,
41,1985,75,41,124.1,717.341040462428,172.879190751445,24.1,97.7,564.739884393064,75.1104046242775,13.3,17.3,
42,1985,124,42,122.5,708.092485549133,170.650289017341,24.1,100.5,580.924855491329,77.2630057803468,13.3,17.3,
43,1985,39,43,128,739.884393063584,167.21387283237,22.6,103.5,598.265895953757,77.1763005780347,12.9,17.3,
44,1985,88,44,126.1,728.901734104046,164.731791907514,22.6,104.2,602.312138728324,77.6982658959538,12.9,17.3,
45,1985,129,45,134.3,776.300578034682,175.443930635838,22.6,116.8,675.14450867052,87.0936416184971,12.9,17.3,
46,1985,4,46,11.95,49.7916666666667,46.3560416666667,93.1,7.2,30,25.65,85.5,24,36.4
47,1985,51,47,12.22,50.9166666666667,47.4034166666667,93.1,7.2,30,25.65,85.5,24,35.6
48,1985,94,48,10.76,44.8333333333333,41.7398333333333,93.1,6.5,27.0833333333333,23.15625,85.5,24,36
49,1985,15,49,13.32,55.5,51.948,93.6,10.5,43.75,38.0625,87,24,36.5
50,1985,58,50,14.86,61.9166666666667,57.954,93.6,11.2,46.6666666666667,40.6,87,24,36.3
51,1985,105,51,14.01,58.375,54.639,93.6,10.1,42.0833333333333,36.6125,87,24,35.7
52,1985,22,52,16.18,67.4166666666667,62.49525,92.7,11.3,47.0833333333333,40.0208333333333,85,24,33.5
53,1985,69,53,15.55,64.7916666666667,60.061875,92.7,11,45.8333333333333,38.9583333333333,85,24,34.5
54,1985,112,54,15.76,65.6666666666667,60.873,92.7,10.7,44.5833333333333,37.8958333333333,85,24,34.5
55,1985,33,55,14.77,61.5416666666667,57.23375,93,9.1,37.9166666666667,32.6083333333333,86,24,34.1
