Ernte_ID,Versuchsjahr,Termin,Parzelle_ID,Saat_Pflanzgut_ID
1,1985,1985-10-16T00:00:00,1,27
2,1985,1985-10-16T00:00:00,54,27
3,1985,1985-10-16T00:00:00,91,27
4,1985,1985-10-16T00:00:00,18,27
5,1985,1985-10-16T00:00:00,55,27
6,1985,1985-10-16T00:00:00,108,27
7,1985,1985-10-16T00:00:00,19,27
8,1985,1985-10-16T00:00:00,72,27
9,1985,1985-10-16T00:00:00,109,27
10,1985,1985-10-16T00:00:00,36,27
11,1985,1985-10-16T00:00:00,73,27
12,1985,1985-10-16T00:00:00,126,27
13,1985,1985-10-16T00:00:00,37,27
14,1985,1985-10-16T00:00:00,90,27
15,1985,1985-10-16T00:00:00,127,27
16,1985,1985-10-16T00:00:00,2,27
17,1985,1985-10-16T00:00:00,53,27
18,1985,1985-10-16T00:00:00,92,27
19,1985,1985-10-16T00:00:00,17,27
20,1985,1985-10-16T00:00:00,56,27
21,1985,1985-10-16T00:00:00,107,27
22,1985,1985-10-16T00:00:00,20,27
23,1985,1985-10-16T00:00:00,71,27
24,1985,1985-10-16T00:00:00,110,27
25,1985,1985-10-16T00:00:00,35,27
26,1985,1985-10-16T00:00:00,74,27
27,1985,1985-10-16T00:00:00,125,27
28,1985,1985-10-16T00:00:00,38,27
29,1985,1985-10-16T00:00:00,89,27
30,1985,1985-10-16T00:00:00,128,27
31,1985,1985-10-16T00:00:00,3,27
32,1985,1985-10-16T00:00:00,52,27
33,1985,1985-10-16T00:00:00,93,27
34,1985,1985-10-16T00:00:00,16,27
35,1985,1985-10-16T00:00:00,57,27
36,1985,1985-10-16T00:00:00,106,27
37,1985,1985-10-16T00:00:00,21,27
38,1985,1985-10-16T00:00:00,70,27
39,1985,1985-10-16T00:00:00,111,27
40,1985,1985-10-16T00:00:00,34,27
41,1985,1985-10-16T00:00:00,75,27
42,1985,1985-10-16T00:00:00,124,27
43,1985,1985-10-16T00:00:00,39,27
44,1985,1985-10-16T00:00:00,88,27
45,1985,1985-10-16T00:00:00,129,27
46,1985,1985-09-11T00:00:00,4,1
47,1985,1985-09-11T00:00:00,51,1
48,1985,1985-09-11T00:00:00,94,1
49,1985,1985-09-11T00:00:00,15,1
50,1985,1985-09-11T00:00:00,58,1
51,1985,1985-09-11T00:00:00,105,1
52,1985,1985-09-11T00:00:00,22,1
53,1985,1985-09-11T00:00:00,69,1
54,1985,1985-09-11T00:00:00,112,1
55,1985,1985-09-11T00:00:00,33,1
56,1985,1985-09-11T00:00:00,76,1
57,1985,1985-09-11T00:00:00,123,1
58,1985,1985-09-11T00:00:00,40,1
59,1985,1985-09-11T00:00:00,87,1
60,1985,1985-09-11T00:00:00,130,1
61,1985,1985-09-11T00:00:00,5,1
62,1985,1985-09-11T00:00:00,50,1
63,1985,1985-09-11T00:00:00,95,1
64,1985,1985-09-11T00:00:00,14,1
65,1985,1985-09-11T00:00:00,59,1
66,1985,1985-09-11T00:00:00,104,1
67,1985,1985-09-11T00:00:00,23,1
68,1985,1985-09-11T00:00:00,68,1
69,1985,1985-09-11T00:00:00,113,1
70,1985,1985-09-11T00:00:00,32,1
71,1985,1985-09-11T00:00:00,77,1
72,1985,1985-09-11T00:00:00,122,1
73,1985,1985-09-11T00:00:00,41,1
74,1985,1985-09-11T00:00:00,86,1
75,1985,1985-09-11T00:00:00,131,1
76,1985,1985-09-11T00:00:00,6,1
77,1985,1985-09-11T00:00:00,49,1
78,1985,1985-09-11T00:00:00,96,1
79,1985,1985-09-11T00:00:00,13,1
80,1985,1985-09-11T00:00:00,60,1
81,1985,1985-09-11T00:00:00,103,1
82,1985,1985-09-11T00:00:00,24,1
