Duengung_ID,Versuchsjahr,Parzelle_ID,Organisch,Stickstoff_In_Frischmasse,Phosphor_In_Frischmasse,Kalium_In_Frischmasse,Magnesium_In_Frischmasse,Trockenmasse_Prozent,Stickstoff_Nach_Deklaration,Phosphor_Nach_Deklaration,Kalium_Nach_Deklaration,Stickstoff_In_Trockenmasse_Proz,Phosphor_In_Trockenmasse_Prozen,Kalium_In_Trockenmasse_Prozent,Magnesium_In_Trockenmasse_Proze,Basisch_Wirksame_Stoffe,Blei_In_Trockenmasse,Cadmium_In_Trockenmasse,Chrom_In_Trockenmasse,Kupfer_In_Trockenmasse,Nickel_In_Trockenmasse,Quecksilber_In_Trockenmasse,Zink_In_Trockenmasse,Duengemittel_ID,Bemerkungen_ID
1,1997,136,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
2,1997,171,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
3,1997,196,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
4,1997,147,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
5,1997,172,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
6,1997,207,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
7,1997,148,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
8,1997,183,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
9,1997,208,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
10,1997,159,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
11,1997,184,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
12,1997,219,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
13,1997,160,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
14,1997,195,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
15,1997,220,1,289,1471,4099,300,71.4,,,,1.24,1.04,1.08,0.78,3.15,47.5,0.55,23.7,41.9,24.8,0.15,203,,
16,1997,136,1,658.6,1527,6006,109.9,68.54,,,,1.81,0.9,0.82,0.48,5.44,59.22,0.46,21.06,54.17,20.2,0.11,279.7,,
17,1997,171,1,658.6,1527,6006,109.9,68.54,,,,1.81,0.9,0.82,0.48,5.44,59.22,0.46,21.06,54.17,20.2,0.11,279.7,,
18,1997,196,1,658.6,1527,6006,109.9,68.54,,,,1.81,0.9,0.82,0.48,5.44,59.22,0.46,21.06,54.17,20.2,0.11,279.7,,
