Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
1,1985,1984-08-30T00:00:00,2,6.5,1,2
2,1985,1984-08-30T00:00:00,53,6.5,1,2
3,1985,1984-08-30T00:00:00,92,6.5,1,2
4,1985,1984-08-30T00:00:00,17,6.5,1,2
5,1985,1984-08-30T00:00:00,56,6.5,1,2
6,1985,1984-08-30T00:00:00,107,6.5,1,2
7,1985,1984-08-30T00:00:00,20,6.5,1,2
8,1985,1984-08-30T00:00:00,71,6.5,1,2
9,1985,1984-08-30T00:00:00,110,6.5,1,2
10,1985,1984-08-30T00:00:00,35,6.5,1,2
11,1985,1984-08-30T00:00:00,74,6.5,1,2
12,1985,1984-08-30T00:00:00,125,6.5,1,2
13,1985,1984-08-30T00:00:00,38,6.5,1,2
14,1985,1984-08-30T00:00:00,89,6.5,1,2
15,1985,1984-08-30T00:00:00,128,6.5,1,2
16,1985,1984-08-30T00:00:00,3,6.5,1,2
17,1985,1984-08-30T00:00:00,52,6.5,1,2
18,1985,1984-08-30T00:00:00,93,6.5,1,2
19,1985,1984-08-30T00:00:00,16,6.5,1,2
20,1985,1984-08-30T00:00:00,57,6.5,1,2
21,1985,1984-08-30T00:00:00,106,6.5,1,2
22,1985,1984-08-30T00:00:00,21,6.5,1,2
23,1985,1984-08-30T00:00:00,70,6.5,1,2
24,1985,1984-08-30T00:00:00,111,6.5,1,2
25,1985,1984-08-30T00:00:00,34,6.5,1,2
26,1985,1984-08-30T00:00:00,75,6.5,1,2
27,1985,1984-08-30T00:00:00,124,6.5,1,2
28,1985,1984-08-30T00:00:00,39,6.5,1,2
29,1985,1984-08-30T00:00:00,88,6.5,1,2
30,1985,1984-08-30T00:00:00,129,6.5,1,2
31,1985,1984-09-28T00:00:00,4,25,8,4
32,1985,1984-09-28T00:00:00,51,25,8,4
33,1985,1984-09-28T00:00:00,94,25,8,4
34,1985,1984-09-28T00:00:00,15,25,8,4
35,1985,1984-09-28T00:00:00,58,25,8,4
36,1985,1984-09-28T00:00:00,105,25,8,4
37,1985,1984-09-28T00:00:00,22,25,8,4
38,1985,1984-09-28T00:00:00,69,25,8,4
39,1985,1984-09-28T00:00:00,112,25,8,4
40,1985,1984-09-28T00:00:00,33,25,8,4
41,1985,1984-09-28T00:00:00,76,25,8,4
42,1985,1984-09-28T00:00:00,123,25,8,4
43,1985,1984-09-28T00:00:00,40,25,8,4
44,1985,1984-09-28T00:00:00,87,25,8,4
45,1985,1984-09-28T00:00:00,130,25,8,4
46,1985,1984-09-28T00:00:00,5,25,8,4
47,1985,1984-09-28T00:00:00,50,25,8,4
48,1985,1984-09-28T00:00:00,95,25,8,4
49,1985,1984-09-28T00:00:00,14,25,8,4
50,1985,1984-09-28T00:00:00,59,25,8,4
51,1985,1984-09-28T00:00:00,104,25,8,4
52,1985,1984-09-28T00:00:00,23,25,8,4
53,1985,1984-09-28T00:00:00,68,25,8,4
54,1985,1984-09-28T00:00:00,113,25,8,4
55,1985,1984-09-28T00:00:00,32,25,8,4
56,1985,1984-09-28T00:00:00,77,25,8,4
57,1985,1984-09-28T00:00:00,122,25,8,4
