Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
1,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,1,18,,45,27,,8,
2,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,54,18,,45,27,,8,
3,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,91,18,,45,27,,8,
4,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,18,18,,45,27,,8,
5,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,55,18,,45,27,,8,
6,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,108,18,,45,27,,8,
7,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,19,18,,45,27,,8,
8,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,72,18,,45,27,,8,
9,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,109,18,,45,27,,8,
10,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,36,18,,45,27,,8,
11,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,73,18,,45,27,,8,
12,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,126,18,,45,27,,8,
13,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,37,18,,45,27,,8,
14,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,90,18,,45,27,,8,
15,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,127,18,,45,27,,8,
16,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,2,18,,45,27,,8,
17,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,53,18,,45,27,,8,
18,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,92,18,,45,27,,8,
19,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,17,18,,45,27,,8,
20,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,56,18,,45,27,,8,
21,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,107,18,,45,27,,8,
22,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,20,18,,45,27,,8,
23,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,71,18,,45,27,,8,
24,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,110,18,,45,27,,8,
25,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,35,18,,45,27,,8,
26,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,74,18,,45,27,,8,
27,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,125,18,,45,27,,8,
28,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,38,18,,45,27,,8,
29,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,89,18,,45,27,,8,
30,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,128,18,,45,27,,8,
31,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,3,18,,45,27,,8,
32,1985,1985-04-20T00:00:00,1985-05-11T00:00:00,52,18,,45,27,,8,
