Versuchsaufbau_ID,Versuchsjahr,Parzelle_ID,Kultur_ID,Pruefglied_ID
1,1985,1,6,1
2,1985,54,6,1
3,1985,91,6,1
4,1985,18,6,2
5,1985,55,6,2
6,1985,108,6,2
7,1985,19,6,3
8,1985,72,6,3
9,1985,109,6,3
10,1985,36,6,4
11,1985,73,6,4
12,1985,126,6,4
13,1985,37,6,5
14,1985,90,6,5
15,1985,127,6,5
16,1985,2,6,6
17,1985,53,6,6
18,1985,92,6,6
19,1985,17,6,7
20,1985,56,6,7
21,1985,107,6,7
22,1985,20,6,8
23,1985,71,6,8
24,1985,110,6,8
25,1985,35,6,9
26,1985,74,6,9
27,1985,125,6,9
28,1985,38,6,10
29,1985,89,6,10
30,1985,128,6,10
31,1985,3,6,11
32,1985,52,6,11
33,1985,93,6,11
34,1985,16,6,12
35,1985,57,6,12
36,1985,106,6,12
37,1985,21,6,13
38,1985,70,6,13
39,1985,111,6,13
40,1985,34,6,14
41,1985,75,6,14
42,1985,124,6,14
43,1985,39,6,15
44,1985,88,6,15
45,1985,129,6,15
46,1985,4,5,1
47,1985,51,5,1
48,1985,94,5,1
49,1985,15,5,2
50,1985,58,5,2
51,1985,105,5,2
52,1985,22,5,3
53,1985,69,5,3
54,1985,112,5,3
55,1985,33,5,4
56,1985,76,5,4
57,1985,123,5,4
58,1985,40,5,5
59,1985,87,5,5
60,1985,130,5,5
61,1985,5,5,6
62,1985,50,5,6
63,1985,95,5,6
64,1985,14,5,7
65,1985,59,5,7
66,1985,104,5,7
67,1985,23,5,8
68,1985,68,5,8
69,1985,113,5,8
70,1985,32,5,9
71,1985,77,5,9
72,1985,122,5,9
73,1985,41,5,10
74,1985,86,5,10
75,1985,131,5,10
76,1985,6,5,11
77,1985,49,5,11
78,1985,96,5,11
79,1985,13,5,12
80,1985,60,5,12
81,1985,103,5,12
82,1985,24,5,13
83,1985,67,5,13
84,1985,114,5,13
85,1985,31,5,14
86,1985,78,5,14
87,1985,121,5,14
88,1985,42,5,15
89,1985,85,5,15
90,1985,132,5,15
91,1985,7,4,1
92,1985,48,4,1
93,1985,97,4,1
94,1985,12,4,2
95,1985,61,4,2
96,1985,102,4,2
97,1985,25,4,3
98,1985,66,4,3
99,1985,115,4,3
