Parzelle_ID,Parzelle,Wiederholung,Pruefglied_ID,Hoehenlage_Min,Hoehenlage_Max,Beginn,Ende
1,A0a,1,1,246.5,254.1,1984,
2,B0a,1,6,246.5,254.1,1984,
3,C0a,1,11,246.5,254.1,1984,
4,A0a,1,1,246.5,254.1,1984,
5,B0a,1,6,246.5,254.1,1984,
6,C0a,1,11,246.5,254.1,1984,
7,A0a,1,1,246.5,254.1,1984,
8,B0a,1,6,246.5,254.1,1984,
9,C0a,1,11,246.5,254.1,1984,
10,C1a,1,12,246.5,254.1,1984,
11,B1a,1,7,246.5,254.1,1984,
12,A1a,1,2,246.5,254.1,1984,
13,C1a,1,12,246.5,254.1,1984,
14,B1a,1,7,246.5,254.1,1984,
15,A1a,1,2,246.5,254.1,1984,
16,C1a,1,12,246.5,254.1,1984,
17,B1a,1,7,246.5,254.1,1984,
18,A1a,1,2,246.5,254.1,1984,
19,A2a,1,3,246.5,254.1,1984,
20,B2a,1,8,246.5,254.1,1984,
21,C2a,1,13,246.5,254.1,1984,
22,A2a,1,3,246.5,254.1,1984,
23,B2a,1,8,246.5,254.1,1984,
24,C2a,1,13,246.5,254.1,1984,
25,A2a,1,3,246.5,254.1,1984,
26,B2a,1,8,246.5,254.1,1984,
27,C2a,1,13,246.5,254.1,1984,
28,C3a,1,14,246.5,254.1,1984,
29,B3a,1,9,246.5,254.1,1984,
30,A3a,1,4,246.5,254.1,1984,
31,C3a,1,14,246.5,254.1,1984,
32,B3a,1,9,246.5,254.1,1984,
33,A3a,1,4,246.5,254.1,1984,
34,C3a,1,14,246.5,254.1,1984,
35,B3a,1,9,246.5,254.1,1984,
36,A3a,1,4,246.5,254.1,1984,
37,A4a,1,5,246.5,254.1,1984,
38,B4a,1,10,246.5,254.1,1984,
39,C4a,1,15,246.5,254.1,1984,
40,A4a,1,5,246.5,254.1,1984,
41,B4a,1,10,246.5,254.1,1984,
42,C4a,1,15,246.5,254.1,1984,
43,A4a,1,5,246.5,254.1,1984,
44,B4a,1,10,246.5,254.1,1984,
45,C4a,1,15,246.5,254.1,1984,
46,C0b,2,11,246.5,254.1,1984,
47,B0b,2,6,246.5,254.1,1984,
48,A0b,2,1,246.5,254.1,1984,
49,C0b,2,11,246.5,254.1,1984,
50,B0b,2,6,246.5,254.1,1984,
