Bemerkungen_ID,Bemerkungen
1,nicht randomisiert
2,randomisiert im neuen Kompostteil ab 1997
3,in kg/ha mineralischem Stickstoff (Calcium Ammonium Nitrat) KAS
4,Streifen-Spaltanlage
5,teilrandomisierte Streifen-Spaltanlage
6,"Winterweizen, Sorte unbekannt"
7,Neuaussaat wegen Auswinterung
8,"Aus den Unterlagen ist nicht ersichtlich, warum im Frühjahr 2003 nochmals Proben untersucht wurden. Vermutlich beziehen sie sich ebenfalls auf das Erntejahr 2003."
9,"Es ist nicht sicher, worauf sich die Werte vom 04.08.2004 beziehen (vermutlich auf das Erntejahr 2005)"
10,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachung als Median (Probenahmen vom 06.05.2003 bis 12.10.2004)"
11,"Es ist nicht sicher, worauf sich die Werte vom 26.07.2005 beziehen (vermutlich auf das Erntejahr 2006)"
12,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachung als Median (Probenahmen vom 02.10.2001 bis 26.07.2005)"
13,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachung als Median (Probenahmen vom 20.04.2004 bis 26.10.2005)"
14,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachung als Median (Probenahmen vom 26.04.2005 bis 10.10.2006)"
15,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachungen als Median (Probenahmen vom 29.10.2002 bis 10.10.2006)"
16,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachungen als Median (Probenahmen vom 20.10.2003 bis 11.09.2007)"
17,"Kein Untersuchungsbericht, sondern Fremdüberwachungszeugnis auf Basis der letzten 10 Untersuchungen der Fremdüberwachungen als Median (Probenahmen vom 30.01.2007 bis 07.10.2008)"
18,Bodenprobenahme im Frühjahr
19,Bodenprobenahme nach der Ernte
